prompt_type,model,dataset,source_file,source_case_index,high_level_requirement,source_target_allocation,source_target_subsystem,generated_allocation,generated_low_level_requirement,metric_names,allocation_correctness,token_f1_similarity,cosine_similarity,rouge_l,bleu,bert_score_precision,bert_score_recall,bert_score_f1,requirement_quality,combined_score
"react2","claude-sonnet-5","clarus","results/experiment/react2/claude_react2_clarus.json","1","The Clarus system shall implement quality checking processes as soon as data become available.","CAS","Configuration & Administration Service","CAS","CAS shall provide the capability for administrators to configure the set of quality checking processes to be invoked upon arrival of new environmental data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","26.0","28.0","17.0","9.0","0.7094","0.7561","0.732","100.0","66.7"
"react2","claude-sonnet-5","clarus","results/experiment/react2/claude_react2_clarus.json","2","The Clarus system shall implement quality checking processes as soon as data become available.","CAS","Configuration & Administration Service","CAS","CAS shall maintain configuration parameters that define the triggering conditions under which Quality Checking Services are notified of newly available data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","8.0","9.0","8.0","6.0","0.7801","0.7851","0.7826","100.0","58.6"
"react2","claude-sonnet-5","clarus","results/experiment/react2/claude_react2_clarus.json","3","The Clarus system shall implement quality checking processes as soon as data become available.","CAS","Configuration & Administration Service","CAS","CAS shall store and manage configuration settings specifying the maximum allowable latency between data availability and initiation of quality checking processes.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","8.0","9.0","8.0","6.0","0.6739","0.7192","0.6958","100.0","58.6"
"react2","claude-sonnet-5","clarus","results/experiment/react2/claude_react2_clarus.json","4","The Clarus system shall implement quality checking processes as soon as data become available.","QChS","Quality Checking Services","QChS","The Quality Checking Services shall initiate quality checking processes immediately upon detection of newly available environmental data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","8.0","8.0","8.0","8.0","0.5182","0.4924","0.505","83.0","55.2"
"react2","claude-sonnet-5","clarus","results/experiment/react2/claude_react2_clarus.json","5","The Clarus system shall implement quality checking processes as soon as data become available.","QChS","Quality Checking Services","QChS","The Quality Checking Services shall complete quality checking of a data record within a configurable maximum processing time from the moment the data becomes available.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","14.0","14.0","7.0","8.0","0.5873","0.6345","0.61","83.0","57.9"
"react2","claude-sonnet-5","clarus","results/experiment/react2/claude_react2_clarus.json","6","The Clarus system shall implement quality checking processes as soon as data become available.","QChS","Quality Checking Services","QChS","The Quality Checking Services shall support concurrent quality checking of multiple data streams to minimize latency when data from multiple sources become available simultaneously.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","14.0","14.0","7.0","8.0","0.5426","0.6041","0.5717","83.0","57.9"
"react2","claude-sonnet-5","clarus","results/experiment/react2/claude_react2_clarus.json","7","The Clarus system shall implement quality checking processes as soon as data become available.","QChS","Quality Checking Services","QChS","The Quality Checking Services shall initiate quality checking processes immediately upon receipt of late-arriving or out-of-sequence data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","8.0","8.0","8.0","8.0","0.6228","0.5941","0.6081","83.0","55.2"
"react2","claude-sonnet-5","clarus","results/experiment/react2/claude_react2_clarus.json","8","The Clarus system shall implement quality checking processes as soon as data become available.","QChS","Quality Checking Services","QChS","The Quality Checking Services shall generate an alert if quality checking cannot be initiated within a specified time after data becomes available.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","7.0","7.0","7.0","8.0","0.5685","0.6346","0.5997","83.0","54.8"
"react2","claude-sonnet-5","clarus","results/experiment/react2/claude_react2_clarus.json","9","The Clarus system shall implement quality checking processes as soon as data become available.","QChS","Quality Checking Services","QChS","The Quality Checking Services shall scale processing resources to maintain timely quality checking performance during periods of high data throughput.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","15.0","15.0","15.0","9.0","0.5707","0.6323","0.5999","83.0","58.4"
"react2","claude-sonnet-5","clarus","results/experiment/react2/claude_react2_clarus.json","10","The Clarus system shall implement quality checking processes as soon as data become available.","SS","Schedule Service","SS","The Schedule Service shall detect the arrival of new data as it becomes available for processing.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","0.0","0.0","0.0","0.0","0.6792","0.7045","0.6917","83.0","51.6"
