prompt_type,model,dataset,source_file,source_case_index,high_level_requirement,source_target_allocation,source_target_subsystem,generated_allocation,generated_low_level_requirement,metric_names,allocation_correctness,token_f1_similarity,cosine_similarity,rouge_l,bleu,bert_score_precision,bert_score_recall,bert_score_f1,requirement_quality,combined_score
"rag1","claude-sonnet-5","clarus","results/experiment/rag1/claude_rag1_clarus.json","1","The Clarus system shall implement quality checking processes as soon as data become available.","","","QChS","The QChS shall initiate quality checking processes immediately upon data becoming available.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","17.0","18.0","17.0","10.0","0.653","0.6624","0.6577","100.0","62.7"
"rag1","claude-sonnet-5","clarus","results/experiment/rag1/claude_rag1_clarus.json","2","The Clarus system shall implement quality checking processes as soon as data become available.","","","QChS","The QChS shall minimize the delay between data availability and the start of quality checking processes.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","17.0","17.0","17.0","10.0","0.5227","0.5282","0.5255","100.0","62.7"
"rag1","claude-sonnet-5","clarus","results/experiment/rag1/claude_rag1_clarus.json","3","The Clarus system shall implement quality checking processes as soon as data become available.","","","CS","The CS shall notify QChS as soon as newly collected data become available for quality checking.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","22.0","23.0","11.0","12.0","0.6744","0.6335","0.6533","100.0","29.9"
"rag1","claude-sonnet-5","clarus","results/experiment/rag1/claude_rag1_clarus.json","4","The Clarus system shall record the methods applied when deriving quality checking information.","","","QChS","QChS shall record the quality checking method(s) applied when deriving a quality assessment for each observation.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","30.0","31.0","20.0","12.0","0.8469","0.86","0.8534","100.0","68.5"
"rag1","claude-sonnet-5","clarus","results/experiment/rag1/claude_rag1_clarus.json","5","The Clarus system shall record the methods applied when deriving quality checking information.","","","QChS","QChS shall associate the recorded quality checking method(s) with the specific observation to which they were applied.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","19.0","20.0","19.0","10.0","0.8214","0.8448","0.8329","100.0","63.6"
"rag1","claude-sonnet-5","clarus","results/experiment/rag1/claude_rag1_clarus.json","6","The Clarus system shall record the methods applied when deriving quality checking information.","","","QEDS","QEDS shall store the recorded quality checking method metadata as part of the qualified environmental data record.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","33.0","35.0","22.0","14.0","0.6539","0.6756","0.6646","100.0","34.9"
"rag1","claude-sonnet-5","clarus","results/experiment/rag1/claude_rag1_clarus.json","7","The Clarus system shall record the methods applied when deriving quality checking information.","","","QEDC","QEDC shall retain the quality checking method metadata associated with each qualified environmental data record for subsequent retrieval.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","27.0","31.0","18.0","10.0","0.644","0.6704","0.657","100.0","32.2"
"rag1","claude-sonnet-5","clarus","results/experiment/rag1/claude_rag1_clarus.json","8","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","QChS","QChS shall be able to apply a defined set of quality checking rules to data for each individual environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","67.0","68.0","67.0","23.0","0.9349","0.9507","0.9427","100.0","85.2"
"rag1","claude-sonnet-5","clarus","results/experiment/rag1/claude_rag1_clarus.json","9","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","QChS","QChS shall support the execution of a distinct quality checking rule set for each environmental parameter independently of rules applied to other parameters.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","52.0","54.0","44.0","13.0","0.7417","0.7761","0.7585","100.0","78.4"
"rag1","claude-sonnet-5","clarus","results/experiment/rag1/claude_rag1_clarus.json","10","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","CAS","CAS shall allow the definition and configuration of quality checking rules for each environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","73.0","73.0","73.0","57.0","0.9494","0.9292","0.9392","100.0","87.9"
"rag1","claude-sonnet-5","clarus","results/experiment/rag1/claude_rag1_clarus.json","11","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","CAS","CAS shall allow quality checking rules for one environmental parameter to be modified without affecting the quality checking rules configured for other environmental parameters.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","56.0","57.0","56.0","27.0","0.723","0.7388","0.7308","100.0","80.2"
"rag1","claude-sonnet-5","clarus","results/experiment/rag1/claude_rag1_clarus.json","12","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","","","QChS","The system shall support definition of quality checking rules that are specific to particular environmental situations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","55.0","55.0","55.0","23.0","0.9509","0.9458","0.9483","83.0","76.4"
"rag1","claude-sonnet-5","clarus","results/experiment/rag1/claude_rag1_clarus.json","13","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","","","QChS","The system shall apply quality checking rules based on the environmental situation applicable to an observation.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","40.0","40.0","40.0","24.0","0.9046","0.8907","0.8976","83.0","69.6"
"rag1","claude-sonnet-5","clarus","results/experiment/rag1/claude_rag1_clarus.json","14","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","","","CAS","The system shall allow configuration of quality checking rules associated with specific environmental situations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","57.0","57.0","57.0","30.0","0.9506","0.9301","0.9402","83.0","77.3"
"rag1","claude-sonnet-5","clarus","results/experiment/rag1/claude_rag1_clarus.json","15","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","","","QChS","The system shall be able to evaluate environmental data using quality checking rules that depend on other concurrent environmental conditions.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","42.0","42.0","33.0","18.0","0.9108","0.9213","0.916","83.0","70.5"
"rag1","claude-sonnet-5","clarus","results/experiment/rag1/claude_rag1_clarus.json","16","The Clarus system shall be able to implement quality checking rules specific to observation locations.","","","QChS","The Quality Checking Services shall determine the observation location associated with each incoming environmental observation prior to applying quality checking rules.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","25.0","25.0","25.0","12.0","0.6492","0.6291","0.639","83.0","62.9"
"rag1","claude-sonnet-5","clarus","results/experiment/rag1/claude_rag1_clarus.json","17","The Clarus system shall be able to implement quality checking rules specific to observation locations.","","","QChS","The Quality Checking Services shall select and apply quality checking rules that are specific to the determined observation location.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","35.0","35.0","35.0","14.0","0.6845","0.6634","0.6738","83.0","67.4"
"rag1","claude-sonnet-5","clarus","results/experiment/rag1/claude_rag1_clarus.json","18","The Clarus system shall be able to implement quality checking rules specific to observation locations.","","","QChS","The Quality Checking Services shall support the definition of multiple sets of location-specific quality checking rules, each associated with one or more observation locations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","30.0","31.0","22.0","10.0","0.7059","0.6897","0.6977","83.0","65.1"
"rag1","claude-sonnet-5","clarus","results/experiment/rag1/claude_rag1_clarus.json","19","The Clarus system shall be able to implement quality checking rules specific to observation locations.","","","CAS","The Configuration & Administration Service shall store and manage the association between observation locations and their corresponding quality checking rules.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","42.0","43.0","25.0","18.0","0.8713","0.8619","0.8665","83.0","70.5"
"rag1","claude-sonnet-5","clarus","results/experiment/rag1/claude_rag1_clarus.json","20","The Clarus system shall be able to implement quality checking rules specific to observation locations.","","","CAS","The Configuration & Administration Service shall provide the location-specific quality checking rule configuration to the Quality Checking Services upon request.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","29.0","29.0","19.0","14.0","0.8202","0.8114","0.8158","83.0","64.7"
"rag1","claude-sonnet-5","clarus","results/experiment/rag1/claude_rag1_clarus.json","21","The Clarus system shall be able to implement quality checking rules specific to observation locations.","","","CAUI","The Configuration & Administration User Interface shall allow an authorized administrator to create, modify, and delete quality checking rules associated with specific observation locations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","43.0","46.0","43.0","17.0","0.7916","0.8264","0.8086","83.0","36.0"
"rag1","claude-sonnet-5","clarus","results/experiment/rag1/claude_rag1_clarus.json","22","The Clarus system shall be able to implement quality checking rules specific to observation locations.","","","EMC","The Environmental Metadata Cache shall provide location metadata for an observation to the Quality Checking Services to support location-specific quality checking rule selection.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","35.0","36.0","26.0","13.0","0.7154","0.7201","0.7177","83.0","32.4"
"rag1","claude-sonnet-5","clarus","results/experiment/rag1/claude_rag1_clarus.json","23","The Clarus system shall be able to base its quality checking process on historical environmental data.","","","QChS","The QChS shall retrieve historical environmental data for use in the quality checking process.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","70.0","70.0","60.0","30.0","0.9261","0.9198","0.923","100.0","86.5"
"rag1","claude-sonnet-5","clarus","results/experiment/rag1/claude_rag1_clarus.json","24","The Clarus system shall be able to base its quality checking process on historical environmental data.","","","QChS","The QChS shall apply quality checking algorithms that incorporate historical environmental data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","70.0","70.0","40.0","35.0","0.9484","0.9382","0.9433","100.0","86.5"
"rag1","claude-sonnet-5","clarus","results/experiment/rag1/claude_rag1_clarus.json","25","The Clarus system shall be able to base its quality checking process on historical environmental data.","","","EMC","The EMC shall provide historical environmental data to the QChS upon request.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","44.0","45.0","33.0","24.0","0.8671","0.879","0.873","100.0","39.8"
"rag1","claude-sonnet-5","clarus","results/experiment/rag1/claude_rag1_clarus.json","26","The Clarus system shall be able to base its quality checking process on historical environmental data.","","","QEDS","The QEDS shall make historical environmental data available for retrieval by the quality checking process.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","48.0","48.0","48.0","25.0","0.9362","0.9214","0.9288","100.0","41.6"
