prompt_type,model,dataset,source_file,source_case_index,high_level_requirement,source_target_allocation,source_target_subsystem,generated_allocation,generated_low_level_requirement,metric_names,allocation_correctness,token_f1_similarity,cosine_similarity,rouge_l,bleu,bert_score_precision,bert_score_recall,bert_score_f1,requirement_quality,combined_score
"fs2","command-a-plus-05-2026","clarus","results/experiment/fs2/cohere_fs2_clarus.json","1","The Clarus system shall implement quality checking processes as soon as data become available.","CAS","Configuration & Administration Service","CAS","The CAS shall configure the system to initiate quality checking processes immediately when data becomes available.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","21.0","22.0","21.0","11.0","0.7614","0.7665","0.764","100.0","64.5"
"fs2","command-a-plus-05-2026","clarus","results/experiment/fs2/cohere_fs2_clarus.json","2","The Clarus system shall implement quality checking processes as soon as data become available.","QChS","Quality Checking Services","QChS","The QChS shall initiate quality checking processes immediately when data become available.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","26.0","26.0","26.0","11.0","0.6601","0.6705","0.6653","100.0","66.7"
"fs2","command-a-plus-05-2026","clarus","results/experiment/fs2/cohere_fs2_clarus.json","3","The Clarus system shall implement quality checking processes as soon as data become available.","SS","Schedule Service","SS","The SS shall implement quality checking processes as soon as data become available.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","0.0","0.0","0.0","0.0","0.6905","0.7084","0.6993","100.0","55.0"
"fs2","command-a-plus-05-2026","clarus","results/experiment/fs2/cohere_fs2_clarus.json","4","The Clarus system shall record the methods applied when deriving quality checking information.","CAS","Configuration & Administration Service","CAS","The CAS shall record the methods applied when deriving quality checking information.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","67.0","68.0","53.0","24.0","0.9421","0.9647","0.9532","100.0","85.2"
"fs2","command-a-plus-05-2026","clarus","results/experiment/fs2/cohere_fs2_clarus.json","5","The Clarus system shall record the methods applied when deriving quality checking information.","QChS","Quality Checking Services","QChS","The QChS shall create a method record that documents the method applied for each derivation of quality checking information.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","19.0","20.0","19.0","10.0","0.8126","0.8309","0.8216","100.0","63.6"
"fs2","command-a-plus-05-2026","clarus","results/experiment/fs2/cohere_fs2_clarus.json","6","The Clarus system shall record the methods applied when deriving quality checking information.","QChS","Quality Checking Services","QChS","The QChS shall associate the method record with the corresponding quality checking information.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","24.0","24.0","24.0","14.0","0.8748","0.8773","0.876","100.0","65.8"
"fs2","command-a-plus-05-2026","clarus","results/experiment/fs2/cohere_fs2_clarus.json","7","The Clarus system shall record the methods applied when deriving quality checking information.","QChS","Quality Checking Services","QChS","The QChS shall provide a query function to retrieve the method(s) applied for a given quality checking information.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","20.0","20.0","20.0","11.0","0.8303","0.8506","0.8403","100.0","64.0"
"fs2","command-a-plus-05-2026","clarus","results/experiment/fs2/cohere_fs2_clarus.json","8","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","CAS","Configuration & Administration Service","CAS","The CAS shall be able to add a quality checking rule for a specified environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","70.0","70.0","70.0","25.0","0.9267","0.9087","0.9176","100.0","86.5"
"fs2","command-a-plus-05-2026","clarus","results/experiment/fs2/cohere_fs2_clarus.json","9","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","CAS","Configuration & Administration Service","CAS","The CAS shall be able to modify an existing quality checking rule for a specified environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","67.0","67.0","67.0","23.0","0.8904","0.8835","0.887","100.0","85.2"
"fs2","command-a-plus-05-2026","clarus","results/experiment/fs2/cohere_fs2_clarus.json","10","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","CAS","Configuration & Administration Service","CAS","The CAS shall be able to delete a quality checking rule for a specified environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","70.0","70.0","70.0","25.0","0.903","0.8948","0.8989","100.0","86.5"
"fs2","command-a-plus-05-2026","clarus","results/experiment/fs2/cohere_fs2_clarus.json","11","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","CAS","Configuration & Administration Service","CAS","The CAS shall ensure that a quality checking rule is defined for each environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","67.0","67.0","67.0","37.0","0.9283","0.9066","0.9173","100.0","85.2"
"fs2","command-a-plus-05-2026","clarus","results/experiment/fs2/cohere_fs2_clarus.json","12","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","CAUI","Configuration & Administration User Interface","CAUI","The CAUI shall allow the user to implement quality checking rules for each environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","67.0","67.0","67.0","31.0","0.9502","0.9509","0.9505","100.0","85.2"
