prompt_type,model,dataset,source_file,source_case_index,high_level_requirement,source_target_allocation,source_target_subsystem,generated_allocation,generated_low_level_requirement,metric_names,allocation_correctness,token_f1_similarity,cosine_similarity,rouge_l,bleu,bert_score_precision,bert_score_recall,bert_score_f1,requirement_quality,combined_score
"fs1","claude-sonnet-5","clarus","results/experiment/fs1/claude_fs1_clarus.json","1","The Clarus system shall implement quality checking processes as soon as data become available.","","","CAS","The CAS shall be able to configure quality checking processes to be implemented as soon as data become available.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","33.0","34.0","33.0","20.0","0.8335","0.859","0.8461","100.0","69.9"
"fs1","claude-sonnet-5","clarus","results/experiment/fs1/claude_fs1_clarus.json","2","The Clarus system shall implement quality checking processes as soon as data become available.","","","QChS","The QChS shall implement quality checking processes as soon as data become available.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","18.0","18.0","18.0","9.0","0.6648","0.678","0.6713","100.0","63.1"
"fs1","claude-sonnet-5","clarus","results/experiment/fs1/claude_fs1_clarus.json","3","The Clarus system shall implement quality checking processes as soon as data become available.","","","SS","The SS shall schedule quality checking processes to be implemented as soon as data become available.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","0.0","0.0","0.0","0.0","0.6838","0.6977","0.6906","100.0","55.0"
"fs1","claude-sonnet-5","clarus","results/experiment/fs1/claude_fs1_clarus.json","4","The Clarus system shall record the methods applied when deriving quality checking information.","","","CAS","The CAS shall be able to configure the methods applied when deriving quality checking information for recording.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","44.0","47.0","33.0","15.0","0.8084","0.8592","0.833","100.0","74.8"
"fs1","claude-sonnet-5","clarus","results/experiment/fs1/claude_fs1_clarus.json","5","The Clarus system shall record the methods applied when deriving quality checking information.","","","QChS","The QChS shall record the methods applied when deriving quality checking information.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","35.0","35.0","35.0","16.0","0.8414","0.8385","0.84","100.0","70.8"
"fs1","claude-sonnet-5","clarus","results/experiment/fs1/claude_fs1_clarus.json","6","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","CAS","The CAS shall be able to configure quality checking rules for each environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","100.0","100.0","100.0","100.0","0.9948","0.9931","0.9939","100.0","100.0"
"fs1","claude-sonnet-5","clarus","results/experiment/fs1/claude_fs1_clarus.json","7","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","CAUI","The CAUI shall be able to provide an interface for configuring quality checking rules for each environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","64.0","64.0","64.0","29.0","0.9286","0.9466","0.9375","100.0","83.8"
"fs1","claude-sonnet-5","clarus","results/experiment/fs1/claude_fs1_clarus.json","8","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","QChS","The QChS shall be able to implement quality checking rules for each environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","90.0","90.0","90.0","74.0","0.9473","0.9475","0.9474","100.0","95.5"
"fs1","claude-sonnet-5","clarus","results/experiment/fs1/claude_fs1_clarus.json","9","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","","","CAS","The CAS shall be able to configure quality checking rules for specific environmental situations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","100.0","100.0","100.0","100.0","1.0","1.0","1.0","100.0","100.0"
"fs1","claude-sonnet-5","clarus","results/experiment/fs1/claude_fs1_clarus.json","10","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","","","QChS","The QChS shall be able to implement quality checking rules for specific environmental situations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","100.0","100.0","100.0","100.0","0.9922","0.9956","0.9939","100.0","100.0"
"fs1","claude-sonnet-5","clarus","results/experiment/fs1/claude_fs1_clarus.json","11","The Clarus system shall be able to implement quality checking rules specific to observation locations.","","","CAS","The CAS shall be able to configure quality checking rules specific to observation locations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","100.0","100.0","100.0","100.0","1.0","1.0","1.0","100.0","100.0"
"fs1","claude-sonnet-5","clarus","results/experiment/fs1/claude_fs1_clarus.json","12","The Clarus system shall be able to implement quality checking rules specific to observation locations.","","","QChS","The QChS shall be able to implement quality checking rules specific to observation locations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","74.0","74.0","74.0","47.0","0.73","0.7075","0.7186","100.0","88.3"
"fs1","claude-sonnet-5","clarus","results/experiment/fs1/claude_fs1_clarus.json","13","The Clarus system shall be able to base its quality checking process on historical environmental data.","","","CAS","The CAS shall be able to configure the quality checking process to be based on historical environmental data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","80.0","80.0","60.0","38.0","0.9618","0.9641","0.9629","100.0","91.0"
