prompt_type,model,dataset,source_file,source_case_index,high_level_requirement,source_target_allocation,source_target_subsystem,generated_allocation,generated_low_level_requirement,metric_names,allocation_correctness,token_f1_similarity,cosine_similarity,rouge_l,bleu,bert_score_precision,bert_score_recall,bert_score_f1,requirement_quality,combined_score
"panacea_run1","mistral-medium-3.5","clarus","results/experiment/panacea_run1/mistral_panacea_run1_clarus.json","1","The Clarus system shall implement quality checking processes as soon as data become available.","","","CLARUS","The Clarus system shall detect when new data becomes available for processing.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","35.0","35.0","26.0","18.0","0.7575","0.7598","0.7587","83.0","32.4"
"panacea_run1","mistral-medium-3.5","clarus","results/experiment/panacea_run1/mistral_panacea_run1_clarus.json","2","The Clarus system shall implement quality checking processes as soon as data become available.","","","CLARUS","The Clarus system shall initiate quality checking processes upon detection of new data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","17.0","18.0","17.0","11.0","0.7405","0.7468","0.7436","83.0","24.3"
"panacea_run1","mistral-medium-3.5","clarus","results/experiment/panacea_run1/mistral_panacea_run1_clarus.json","3","The Clarus system shall implement quality checking processes as soon as data become available.","","","CLARUS","The Clarus system shall ensure quality checking processes are executed as soon as data is available, without unnecessary delay.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","7.0","7.0","7.0","8.0","0.6125","0.6462","0.6289","83.0","19.8"
"panacea_run1","mistral-medium-3.5","clarus","results/experiment/panacea_run1/mistral_panacea_run1_clarus.json","4","The Clarus system shall implement quality checking processes as soon as data become available.","","","CLARUS","The Clarus system shall process data in the order it becomes available unless otherwise specified.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","13.0","14.0","13.0","11.0","0.7128","0.7441","0.7281","83.0","22.5"
"panacea_run1","mistral-medium-3.5","clarus","results/experiment/panacea_run1/mistral_panacea_run1_clarus.json","5","The Clarus system shall record the methods applied when deriving quality checking information.","","","CLARUS","The Clarus system shall store the method identifier used for deriving quality checking information.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","35.0","37.0","24.0","15.0","0.8422","0.8736","0.8576","83.0","32.4"
"panacea_run1","mistral-medium-3.5","clarus","results/experiment/panacea_run1/mistral_panacea_run1_clarus.json","6","The Clarus system shall record the methods applied when deriving quality checking information.","","","CLARUS","The Clarus system shall store the version of the method used for deriving quality checking information.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","35.0","37.0","24.0","15.0","0.8612","0.8912","0.8759","83.0","32.4"
"panacea_run1","mistral-medium-3.5","clarus","results/experiment/panacea_run1/mistral_panacea_run1_clarus.json","7","The Clarus system shall record the methods applied when deriving quality checking information.","","","CLARUS","The Clarus system shall store the timestamp when the method was applied for deriving quality checking information.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","21.0","23.0","21.0","12.0","0.768","0.8182","0.7923","83.0","26.1"
"panacea_run1","mistral-medium-3.5","clarus","results/experiment/panacea_run1/mistral_panacea_run1_clarus.json","8","The Clarus system shall record the methods applied when deriving quality checking information.","","","CLARUS","The Clarus system shall associate the recorded method with the corresponding quality checking information.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","25.0","26.0","25.0","15.0","0.8653","0.8876","0.8763","83.0","27.9"
"panacea_run1","mistral-medium-3.5","clarus","results/experiment/panacea_run1/mistral_panacea_run1_clarus.json","9","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","CLARUS","The Clarus system shall support the definition of quality checking rules for each environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","67.0","67.0","67.0","61.0","0.9361","0.9196","0.9278","83.0","46.8"
"panacea_run1","mistral-medium-3.5","clarus","results/experiment/panacea_run1/mistral_panacea_run1_clarus.json","10","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","CLARUS","The Clarus system shall allow the configuration of quality checking rules for each environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","67.0","67.0","67.0","61.0","0.9271","0.9299","0.9285","83.0","46.8"
