prompt_type,model,dataset,source_file,source_case_index,high_level_requirement,source_target_allocation,source_target_subsystem,generated_allocation,generated_low_level_requirement,metric_names,allocation_correctness,token_f1_similarity,cosine_similarity,rouge_l,bleu,bert_score_precision,bert_score_recall,bert_score_f1,requirement_quality,combined_score
"cot2","deepseek-v4-flash","clarus","results/experiment/cot2/deepseek_cot2_clarus.json","1","The Clarus system shall implement quality checking processes as soon as data become available.","CAS","Configuration & Administration Service","CAS","The Configuration & Administration Service shall store a configuration parameter named 'quality_check_trigger_delay' with a default value of 0, indicating immediate initiation of quality checking processes upon data availability.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","0.0","0.0","0.0","0.0","0.5189","0.5758","0.5459","83.0","51.6"
"cot2","deepseek-v4-flash","clarus","results/experiment/cot2/deepseek_cot2_clarus.json","2","The Clarus system shall implement quality checking processes as soon as data become available.","QChS","Quality Checking Services","QChS","QChS shall automatically commence quality checking on each data item as soon as that data item is made available to the Quality Checking Services.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","23.0","23.0","23.0","11.0","0.5729","0.5979","0.5851","100.0","65.4"
"cot2","deepseek-v4-flash","clarus","results/experiment/cot2/deepseek_cot2_clarus.json","3","The Clarus system shall implement quality checking processes as soon as data become available.","SS","Schedule Service","SS","The Schedule Service shall initiate the quality checking process for newly available data as soon as the data becomes available.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","13.0","17.0","13.0","9.0","0.6509","0.6736","0.662","83.0","57.5"
"cot2","deepseek-v4-flash","clarus","results/experiment/cot2/deepseek_cot2_clarus.json","4","The Clarus system shall record the methods applied when deriving quality checking information.","CAS","Configuration & Administration Service","CAS","The Configuration & Administration Service shall record the set of quality checking methods that are configured for use in the system.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","40.0","44.0","40.0","17.0","0.8911","0.9177","0.9042","83.0","69.6"
"cot2","deepseek-v4-flash","clarus","results/experiment/cot2/deepseek_cot2_clarus.json","5","The Clarus system shall record the methods applied when deriving quality checking information.","QChS","Quality Checking Services","QChS","The Quality Checking Services subsystem shall record the method identifier for each quality checking method applied during the derivation of quality checking information.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","10.0","10.0","10.0","8.0","0.7762","0.7932","0.7846","83.0","56.1"
"cot2","deepseek-v4-flash","clarus","results/experiment/cot2/deepseek_cot2_clarus.json","6","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","CAS","Configuration & Administration Service","CAS","CAS shall provide a service to create a quality checking rule definition for a specified environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","55.0","55.0","55.0","18.0","0.8936","0.8769","0.8852","100.0","79.8"
"cot2","deepseek-v4-flash","clarus","results/experiment/cot2/deepseek_cot2_clarus.json","7","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","CAS","Configuration & Administration Service","CAS","CAS shall provide a service to retrieve the quality checking rule definitions for a specified environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","55.0","55.0","55.0","18.0","0.8984","0.8813","0.8897","100.0","79.8"
"cot2","deepseek-v4-flash","clarus","results/experiment/cot2/deepseek_cot2_clarus.json","8","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","CAS","Configuration & Administration Service","CAS","CAS shall provide a service to update an existing quality checking rule definition for a specified environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","52.0","53.0","52.0","17.0","0.869","0.8615","0.8653","100.0","78.4"
"cot2","deepseek-v4-flash","clarus","results/experiment/cot2/deepseek_cot2_clarus.json","9","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","CAS","Configuration & Administration Service","CAS","CAS shall provide a service to delete a quality checking rule definition for a specified environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","55.0","55.0","55.0","18.0","0.8387","0.8286","0.8336","100.0","79.8"
"cot2","deepseek-v4-flash","clarus","results/experiment/cot2/deepseek_cot2_clarus.json","10","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","CAUI","Configuration & Administration User Interface","CAUI","The CAUI shall provide a user interface to create a quality checking rule for a selected environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","45.0","46.0","45.0","18.0","0.9056","0.9074","0.9065","100.0","75.3"
