prompt_type,model,dataset,source_file,source_case_index,high_level_requirement,source_target_allocation,source_target_subsystem,generated_allocation,generated_low_level_requirement,metric_names,allocation_correctness,token_f1_similarity,cosine_similarity,rouge_l,bleu,bert_score_precision,bert_score_recall,bert_score_f1,requirement_quality,combined_score
"rag1","command-a-plus-05-2026","clarus","results/experiment/rag1/cohere_rag1_clarus.json","1","The Clarus system shall implement quality checking processes as soon as data become available.","","","CS","The Clarus system shall detect when new data become available and notify the Quality Checking Services.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","23.0","23.0","23.0","17.0","0.6595","0.6687","0.6641","83.0","27.0"
"rag1","command-a-plus-05-2026","clarus","results/experiment/rag1/cohere_rag1_clarus.json","2","The Clarus system shall implement quality checking processes as soon as data become available.","","","QChS","The Clarus system shall initiate quality checking processes immediately upon notification of new data availability.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","16.0","16.0","16.0","12.0","0.6024","0.6099","0.6062","83.0","58.8"
"rag1","command-a-plus-05-2026","clarus","results/experiment/rag1/cohere_rag1_clarus.json","3","The Clarus system shall implement quality checking processes as soon as data become available.","","","QChS","The Clarus system shall apply defined quality control rules to the newly available data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","9.0","9.0","9.0","8.0","0.7022","0.7218","0.7119","83.0","55.7"
"rag1","command-a-plus-05-2026","clarus","results/experiment/rag1/cohere_rag1_clarus.json","4","The Clarus system shall implement quality checking processes as soon as data become available.","","","QChS","The Clarus system shall complete quality checking for each data item before the data is released for further processing.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","15.0","15.0","8.0","10.0","0.5652","0.595","0.5797","83.0","58.4"
"rag1","command-a-plus-05-2026","clarus","results/experiment/rag1/cohere_rag1_clarus.json","5","The Clarus system shall implement quality checking processes as soon as data become available.","","","QChS","The Clarus system shall record the methods applied during quality checking for each data item.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","8.0","8.0","8.0","8.0","0.6282","0.6565","0.642","83.0","55.2"
"rag1","command-a-plus-05-2026","clarus","results/experiment/rag1/cohere_rag1_clarus.json","6","The Clarus system shall record the methods applied when deriving quality checking information.","","","QChS","The Clarus system shall record the method identifier for each quality checking operation at the time the quality checking information is derived.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","10.0","10.0","10.0","8.0","0.7549","0.7774","0.766","83.0","56.1"
"rag1","command-a-plus-05-2026","clarus","results/experiment/rag1/cohere_rag1_clarus.json","7","The Clarus system shall record the methods applied when deriving quality checking information.","","","QChS","The Clarus system shall store the name or algorithm description of the method applied during quality checking derivation.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","10.0","10.0","10.0","9.0","0.764","0.7817","0.7728","83.0","56.1"
"rag1","command-a-plus-05-2026","clarus","results/experiment/rag1/cohere_rag1_clarus.json","8","The Clarus system shall record the methods applied when deriving quality checking information.","","","QChS","The Clarus system shall associate the recorded method with the resulting quality checking information for the corresponding data element.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","9.0","9.0","9.0","8.0","0.8018","0.8134","0.8075","83.0","55.7"
"rag1","command-a-plus-05-2026","clarus","results/experiment/rag1/cohere_rag1_clarus.json","9","The Clarus system shall record the methods applied when deriving quality checking information.","","","QChS","The Clarus system shall preserve the recorded method information in a non-modifiable form after storage.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","0.0","0.0","0.0","0.0","0.5218","0.5567","0.5387","83.0","51.6"
"rag1","command-a-plus-05-2026","clarus","results/experiment/rag1/cohere_rag1_clarus.json","10","The Clarus system shall record the methods applied when deriving quality checking information.","","","QChS","The Clarus system shall provide a query capability that returns the recorded methods for a specified data element or quality checking result.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","8.0","9.0","8.0","7.0","0.7941","0.8092","0.8016","83.0","55.2"
"rag1","command-a-plus-05-2026","clarus","results/experiment/rag1/cohere_rag1_clarus.json","11","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","QChS","The Clarus system shall be able to define quality checking rules specific to each environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","67.0","67.0","67.0","27.0","0.9254","0.9339","0.9296","83.0","81.8"
"rag1","command-a-plus-05-2026","clarus","results/experiment/rag1/cohere_rag1_clarus.json","12","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","QChS","The Clarus system shall be able to retrieve the quality checking rules applicable to a given environmental parameter during data processing.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","50.0","51.0","50.0","20.0","0.9294","0.945","0.9371","83.0","74.1"
"rag1","command-a-plus-05-2026","clarus","results/experiment/rag1/cohere_rag1_clarus.json","13","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","QChS","The Clarus system shall be able to apply the retrieved quality checking rules to the corresponding environmental data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","48.0","48.0","48.0","23.0","0.9204","0.9264","0.9234","83.0","73.2"
"rag1","command-a-plus-05-2026","clarus","results/experiment/rag1/cohere_rag1_clarus.json","14","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","QChS","The Clarus system shall be able to produce a quality assessment result for each environmental parameter based on the applied rules.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","50.0","51.0","42.0","14.0","0.9045","0.9186","0.9115","83.0","74.1"
"rag1","command-a-plus-05-2026","clarus","results/experiment/rag1/cohere_rag1_clarus.json","15","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","QChS","The Clarus system shall be able to modify the quality checking rules for a particular environmental parameter without affecting rules for other parameters.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","56.0","57.0","56.0","27.0","0.7806","0.8216","0.8006","83.0","76.8"
"rag1","command-a-plus-05-2026","clarus","results/experiment/rag1/cohere_rag1_clarus.json","16","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","QChS","The Clarus system shall be able to maintain an audit record of which quality checking rule was applied to each environmental parameter instance.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","38.0","40.0","38.0","13.0","0.8783","0.895","0.8866","83.0","68.7"
