summary_level,prompt_type,model,dataset,source_file,model_source,metric_names,expected_cases,actual_cases,completion_percentage,generated_llr_count,allocation_correctness,token_f1_similarity,cosine_similarity,rouge_l,bleu,bert_score_precision,bert_score_recall,bert_score_f1,requirement_quality,combined_score
file,"cot1","claude-sonnet-5","clarus","results/experiment/cot1/claude_cot1_clarus.json","canonical_filename_mapping","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","77","77","100.0","287","44.6","41.0","41.8","37.4","22.7","0.8","0.8","0.8","97.2","53.5"
file,"cot1","command-a-plus-05-2026","clarus","results/experiment/cot1/cohere_cot1_clarus.json","canonical_filename_mapping","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","77","77","100.0","231","67.5","29.5","30.5","26.6","14.4","0.7","0.7","0.7","97.4","56.4"
file,"cot1","deepseek-v4-flash","clarus","results/experiment/cot1/deepseek_cot1_clarus.json","canonical_filename_mapping","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","77","77","100.0","144","74.3","39.1","39.9","36.1","21.0","0.7","0.8","0.8","92.4","62.1"
file,"cot1","gemini-3.5-flash","clarus","results/experiment/cot1/gemini_cot1_clarus.json","canonical_filename_mapping","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","77","77","100.0","119","79.8","55.6","56.3","53.4","35.1","0.8","0.8","0.8","99.9","72.9"
file,"cot1","mistral-medium-3.5","clarus","results/experiment/cot1/mistral_cot1_clarus.json","canonical_filename_mapping","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","77","77","100.0","253","55.3","35.2","35.7","31.6","18.7","0.7","0.8","0.7","86.8","52.6"
file,"cot2","claude-sonnet-5","clarus","results/experiment/cot2/claude_cot2_clarus.json","canonical_filename_mapping","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","131","131","100.0","699","100.0","33.6","34.8","31.1","15.1","0.7","0.7","0.7","94.6","69.0"
file,"cot2","command-a-plus-05-2026","clarus","results/experiment/cot2/cohere_cot2_clarus.json","canonical_filename_mapping","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","131","131","100.0","681","100.0","24.3","25.5","22.9","11.6","0.7","0.7","0.7","96.8","65.3"
file,"cot2","deepseek-v4-flash","clarus","results/experiment/cot2/deepseek_cot2_clarus.json","canonical_filename_mapping","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","131","131","100.0","246","100.0","32.0","33.0","29.6","16.0","0.7","0.7","0.7","95.0","68.4"
file,"cot2","gemini-3.5-flash","clarus","results/experiment/cot2/gemini_cot2_clarus.json","canonical_filename_mapping","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","131","131","100.0","144","100.0","49.8","50.4","47.8","29.9","0.8","0.8","0.8","97.5","76.9"
file,"cot2","mistral-medium-3.5","clarus","results/experiment/cot2/mistral_cot2_clarus.json","canonical_filename_mapping","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","131","131","100.0","396","100.0","32.2","33.0","29.8","17.2","0.7","0.7","0.7","89.1","67.3"
file,"fs1","claude-sonnet-5","clarus","results/experiment/fs1/claude_fs1_clarus.json","canonical_filename_mapping","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","77","76","98.7","136","100.0","58.4","58.9","56.5","40.0","0.8","0.8","0.8","100.0","81.3"
