prompt_type,model,dataset,source_file,source_case_index,high_level_requirement,source_target_allocation,source_target_subsystem,generated_allocation,generated_low_level_requirement,metric_names,allocation_correctness,token_f1_similarity,cosine_similarity,rouge_l,bleu,bert_score_precision,bert_score_recall,bert_score_f1,requirement_quality,combined_score
"fs1","mistral-medium-3.5","clarus","results/experiment/fs1/mistral_fs1_clarus.json","1","The Clarus system shall implement quality checking processes as soon as data become available.","","","CAS","The CAS shall be able to configure quality checking processes to be triggered as soon as data become available.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","33.0","34.0","33.0","20.0","0.8277","0.854","0.8407","100.0","69.9"
"fs1","mistral-medium-3.5","clarus","results/experiment/fs1/mistral_fs1_clarus.json","2","The Clarus system shall implement quality checking processes as soon as data become available.","","","QChS","The QChS shall implement quality checking processes as soon as data become available.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","18.0","18.0","18.0","9.0","0.6648","0.678","0.6713","100.0","63.1"
"fs1","mistral-medium-3.5","clarus","results/experiment/fs1/mistral_fs1_clarus.json","3","The Clarus system shall implement quality checking processes as soon as data become available.","","","SS","The SS shall trigger quality checking processes as soon as data become available.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","0.0","0.0","0.0","0.0","0.6951","0.7136","0.7042","100.0","55.0"
"fs1","mistral-medium-3.5","clarus","results/experiment/fs1/mistral_fs1_clarus.json","4","The Clarus system shall record the methods applied when deriving quality checking information.","","","CAS","The CAS shall record the methods applied when configuring quality checking information.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","67.0","68.0","53.0","24.0","0.9157","0.9569","0.9358","100.0","85.2"
"fs1","mistral-medium-3.5","clarus","results/experiment/fs1/mistral_fs1_clarus.json","5","The Clarus system shall record the methods applied when deriving quality checking information.","","","QChS","The QChS shall record the methods applied when deriving quality checking information.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","35.0","35.0","35.0","16.0","0.8414","0.8385","0.84","100.0","70.8"
"fs1","mistral-medium-3.5","clarus","results/experiment/fs1/mistral_fs1_clarus.json","6","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","CAS","The CAS shall be able to configure quality checking rules for each environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","100.0","100.0","100.0","100.0","0.9948","0.9931","0.9939","100.0","100.0"
"fs1","mistral-medium-3.5","clarus","results/experiment/fs1/mistral_fs1_clarus.json","7","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","CAUI","The CAUI shall be able to allow users to define quality checking rules for each environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","64.0","64.0","64.0","29.0","0.9369","0.9434","0.9401","100.0","83.8"
"fs1","mistral-medium-3.5","clarus","results/experiment/fs1/mistral_fs1_clarus.json","8","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","QChS","The QChS shall be able to implement quality checking rules for each environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","90.0","90.0","90.0","74.0","0.9473","0.9475","0.9474","100.0","95.5"
"fs1","mistral-medium-3.5","clarus","results/experiment/fs1/mistral_fs1_clarus.json","9","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","","","CAS","The CAS shall be able to configure quality checking rules for specific environmental situations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","100.0","100.0","100.0","100.0","1.0","1.0","1.0","100.0","100.0"
"fs1","mistral-medium-3.5","clarus","results/experiment/fs1/mistral_fs1_clarus.json","10","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","","","QChS","The QChS shall be able to implement quality checking rules for specific environmental situations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","100.0","100.0","100.0","100.0","0.9922","0.9956","0.9939","100.0","100.0"
