prompt_type,model,dataset,source_file,source_case_index,high_level_requirement,source_target_allocation,source_target_subsystem,generated_allocation,generated_low_level_requirement,metric_names,allocation_correctness,token_f1_similarity,cosine_similarity,rouge_l,bleu,bert_score_precision,bert_score_recall,bert_score_f1,requirement_quality,combined_score
"react1","deepseek-v4-flash","clarus","results/experiment/react1/deepseek_react1_clarus.json","1","The Clarus system shall implement quality checking processes as soon as data become available.","","","QChS","QChS shall implement quality checking processes as soon as data becomes available.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","18.0","18.0","18.0","9.0","0.6818","0.6934","0.6876","100.0","63.1"
"react1","deepseek-v4-flash","clarus","results/experiment/react1/deepseek_react1_clarus.json","2","The Clarus system shall record the methods applied when deriving quality checking information.","","","QChS","The Quality Checking Services subsystem shall record the methods applied when deriving quality checking information.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","22.0","22.0","11.0","13.0","0.8022","0.8099","0.8061","83.0","61.5"
"react1","deepseek-v4-flash","clarus","results/experiment/react1/deepseek_react1_clarus.json","3","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","QChS","The Quality Checking Services subsystem shall implement quality checking rules for each environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","70.0","70.0","60.0","25.0","0.8923","0.8951","0.8937","83.0","83.1"
"react1","deepseek-v4-flash","clarus","results/experiment/react1/deepseek_react1_clarus.json","4","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","","","QChS","The QChS shall implement quality checking rules that are specific to particular environmental situations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","76.0","76.0","76.0","39.0","0.9587","0.9569","0.9578","100.0","89.2"
"react1","deepseek-v4-flash","clarus","results/experiment/react1/deepseek_react1_clarus.json","5","The Clarus system shall be able to implement quality checking rules specific to observation locations.","","","QChS","The Quality Checking Services subsystem shall apply quality checking rules that are specific to observation locations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","38.0","38.0","38.0","16.0","0.6937","0.6842","0.6889","83.0","68.7"
"react1","deepseek-v4-flash","clarus","results/experiment/react1/deepseek_react1_clarus.json","6","The Clarus system shall be able to implement quality checking rules specific to observation locations.","","","CAS","The Configuration & Administration Service shall store and provide quality checking rules associated with specific observation locations for use by the Quality Checking Services subsystem.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","44.0","47.0","44.0","18.0","0.8703","0.8752","0.8728","83.0","71.4"
"react1","deepseek-v4-flash","clarus","results/experiment/react1/deepseek_react1_clarus.json","7","The Clarus system shall be able to base its quality checking process on historical environmental data.","","","QChS","The Quality Checking Services shall be able to use historical environmental data to perform quality checks.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","70.0","70.0","50.0","51.0","0.9586","0.9503","0.9544","83.0","83.1"
"react1","deepseek-v4-flash","clarus","results/experiment/react1/deepseek_react1_clarus.json","8","The Clarus system shall be able to base its quality checking process on historical environmental data.","","","QEDS","The Qualified Environmental Data Services shall provide access to historical environmental data for use by the Quality Checking Services.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","57.0","57.0","38.0","20.0","0.9368","0.9218","0.9293","83.0","42.3"
"react1","deepseek-v4-flash","clarus","results/experiment/react1/deepseek_react1_clarus.json","9","The Clarus system shall be able to use multiple algorithms for its quality checking process.","","","QChS","The Quality Checking Services subsystem shall support the use of multiple algorithms for the quality checking process.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","32.0","32.0","21.0","17.0","0.7533","0.7638","0.7585","83.0","66.0"
"react1","deepseek-v4-flash","clarus","results/experiment/react1/deepseek_react1_clarus.json","10","The Clarus system shall allow access to new surface transportation-related environmental data.","","","CS","The Collector Services subsystem shall acquire new surface transportation-related environmental data from external sources.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","9.0","9.0","9.0","8.0","0.674","0.7436","0.7071","83.0","55.7"
"react1","deepseek-v4-flash","clarus","results/experiment/react1/deepseek_react1_clarus.json","11","The Clarus system shall allow access to new surface transportation-related environmental data.","","","QEDS","The Qualified Environmental Data Services subsystem shall provide access to newly acquired surface transportation-related environmental data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","0.0","0.0","0.0","0.0","0.6232","0.6784","0.6497","83.0","51.6"
"react1","deepseek-v4-flash","clarus","results/experiment/react1/deepseek_react1_clarus.json","12","The Clarus system shall enable administrators to manage security groups.","","","CAUI","The Configuration and Administration User Interface shall allow administrators to view security groups.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","24.0","24.0","24.0","13.0","0.8506","0.8507","0.8506","83.0","62.4"
