prompt_type,model,dataset,source_file,source_case_index,high_level_requirement,source_target_allocation,source_target_subsystem,generated_allocation,generated_low_level_requirement,metric_names,allocation_correctness,token_f1_similarity,cosine_similarity,rouge_l,bleu,bert_score_precision,bert_score_recall,bert_score_f1,requirement_quality,combined_score
"cot1","claude-sonnet-5","clarus","results/experiment/cot1/claude_cot1_clarus.json","1","The Clarus system shall implement quality checking processes as soon as data become available.","","","CS","CS shall forward collected data to QChS immediately upon data availability.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","20.0","22.0","20.0","16.0","0.7177","0.7327","0.7251","100.0","29.0"
"cot1","claude-sonnet-5","clarus","results/experiment/cot1/claude_cot1_clarus.json","2","The Clarus system shall implement quality checking processes as soon as data become available.","","","QChS","QChS shall initiate quality checking processing immediately upon receipt of new data from CS.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","33.0","33.0","33.0","14.0","0.6671","0.587","0.6245","100.0","69.9"
"cot1","claude-sonnet-5","clarus","results/experiment/cot1/claude_cot1_clarus.json","3","The Clarus system shall record the methods applied when deriving quality checking information.","","","QChS","The QChS shall record the quality checking methods applied when deriving quality checking information.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","35.0","35.0","24.0","16.0","0.8437","0.8374","0.8406","100.0","70.8"
"cot1","claude-sonnet-5","clarus","results/experiment/cot1/claude_cot1_clarus.json","4","The Clarus system shall record the methods applied when deriving quality checking information.","","","QEDS","The QEDS shall store the quality checking method information recorded during the derivation of quality checking information.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","27.0","27.0","27.0","17.0","0.8715","0.888","0.8796","100.0","32.2"
"cot1","claude-sonnet-5","clarus","results/experiment/cot1/claude_cot1_clarus.json","5","The Clarus system shall record the methods applied when deriving quality checking information.","","","QEDC","The QEDC shall retain the recorded quality checking method information as part of the qualified environmental data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","24.0","25.0","24.0","14.0","0.6419","0.6615","0.6516","100.0","30.8"
"cot1","claude-sonnet-5","clarus","results/experiment/cot1/claude_cot1_clarus.json","6","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","QChS","QChS shall apply quality checking rules to each environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","67.0","67.0","67.0","28.0","0.9253","0.9094","0.9173","100.0","85.2"
"cot1","claude-sonnet-5","clarus","results/experiment/cot1/claude_cot1_clarus.json","7","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","CAS","CAS shall store configuration data defining quality checking rules for each environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","73.0","73.0","73.0","57.0","0.9243","0.8921","0.9079","100.0","87.9"
"cot1","claude-sonnet-5","clarus","results/experiment/cot1/claude_cot1_clarus.json","8","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","CAUI","CAUI shall provide the capability for authorized users to define and modify quality checking rules for each environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","56.0","57.0","56.0","23.0","0.9263","0.9421","0.9341","100.0","80.2"
"cot1","claude-sonnet-5","clarus","results/experiment/cot1/claude_cot1_clarus.json","9","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","QEDC","QEDC shall store the results of quality checking rules applied to each environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","60.0","60.0","60.0","33.0","0.9144","0.9149","0.9147","100.0","47.0"
"cot1","claude-sonnet-5","clarus","results/experiment/cot1/claude_cot1_clarus.json","10","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","","","QChS","The QChS shall apply quality checking rules that are specific to designated environmental situations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","67.0","67.0","67.0","27.0","0.9438","0.943","0.9434","100.0","85.2"
