prompt_type,model,dataset,source_file,source_case_index,high_level_requirement,source_target_allocation,source_target_subsystem,generated_allocation,generated_low_level_requirement,metric_names,allocation_correctness,token_f1_similarity,cosine_similarity,rouge_l,bleu,bert_score_precision,bert_score_recall,bert_score_f1,requirement_quality,combined_score
"panacea_run1","gemini-3.5-flash","clarus","results/experiment/panacea_run1/gemini_panacea_run1_clarus.json","1","The Clarus system shall implement quality checking processes as soon as data become available.","","","CLARUS-DM","The CLARUS system shall detect the availability of new incoming data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","20.0","21.0","20.0","8.0","0.7432","0.7529","0.748","83.0","25.6"
"panacea_run1","gemini-3.5-flash","clarus","results/experiment/panacea_run1/gemini_panacea_run1_clarus.json","2","The Clarus system shall implement quality checking processes as soon as data become available.","","","CLARUS-QC","The CLARUS system shall initiate quality checking processes immediately upon detecting that new data has become available.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","14.0","14.0","14.0","10.0","0.6567","0.6574","0.6571","83.0","22.9"
"panacea_run1","gemini-3.5-flash","clarus","results/experiment/panacea_run1/gemini_panacea_run1_clarus.json","3","The Clarus system shall implement quality checking processes as soon as data become available.","","","CLARUS-QC","The CLARUS system shall execute defined quality checking processes on the newly available data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","9.0","9.0","9.0","8.0","0.75","0.7661","0.7579","83.0","20.7"
"panacea_run1","gemini-3.5-flash","clarus","results/experiment/panacea_run1/gemini_panacea_run1_clarus.json","4","The Clarus system shall record the methods applied when deriving quality checking information.","","","CLARUS","The Clarus system shall record the specific algorithm or procedure applied when deriving quality checking information.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","33.0","35.0","33.0","14.0","0.8371","0.8711","0.8538","83.0","31.5"
"panacea_run1","gemini-3.5-flash","clarus","results/experiment/panacea_run1/gemini_panacea_run1_clarus.json","5","The Clarus system shall record the methods applied when deriving quality checking information.","","","CLARUS","The Clarus system shall associate the recorded method information with the generated quality checking results.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","24.0","25.0","24.0","14.0","0.868","0.894","0.8808","83.0","27.4"
"panacea_run1","gemini-3.5-flash","clarus","results/experiment/panacea_run1/gemini_panacea_run1_clarus.json","6","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","CLARUS-QC","The CLARUS system shall support the configuration of unique quality checking rules for each environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","64.0","64.0","64.0","55.0","0.9285","0.9321","0.9303","83.0","45.4"
"panacea_run1","gemini-3.5-flash","clarus","results/experiment/panacea_run1/gemini_panacea_run1_clarus.json","7","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","CLARUS-QC","The CLARUS system shall execute the associated quality checking rules against the incoming data for each environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","58.0","59.0","58.0","32.0","0.8709","0.8572","0.864","83.0","42.7"
"panacea_run1","gemini-3.5-flash","clarus","results/experiment/panacea_run1/gemini_panacea_run1_clarus.json","8","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","","","CLARUS","The Clarus system shall support the configuration of quality checking rules mapped to specific environmental situations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","57.0","57.0","57.0","30.0","0.9366","0.942","0.9393","83.0","42.3"
"panacea_run1","gemini-3.5-flash","clarus","results/experiment/panacea_run1/gemini_panacea_run1_clarus.json","9","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","","","CLARUS","The Clarus system shall execute the configured quality checking rules when the corresponding environmental situations are identified.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","43.0","44.0","43.0","21.0","0.891","0.8973","0.8941","83.0","36.0"
"panacea_run1","gemini-3.5-flash","clarus","results/experiment/panacea_run1/gemini_panacea_run1_clarus.json","10","The Clarus system shall be able to implement quality checking rules specific to observation locations.","","","QCS","The QCS shall support the configuration of quality checking rules associated with specific observation locations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","60.0","60.0","60.0","30.0","0.9052","0.8908","0.898","100.0","47.0"
