prompt_type,model,dataset,source_file,source_case_index,high_level_requirement,source_target_allocation,source_target_subsystem,generated_allocation,generated_low_level_requirement,metric_names,allocation_correctness,token_f1_similarity,cosine_similarity,rouge_l,bleu,bert_score_precision,bert_score_recall,bert_score_f1,requirement_quality,combined_score
"fs1","deepseek-v4-flash","clarus","results/experiment/fs1/deepseek_fs1_clarus.json","1","The Clarus system shall implement quality checking processes as soon as data become available.","","","CAS","The CAS shall configure the triggering of quality checking processes upon data availability.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","25.0","25.0","25.0","14.0","0.837","0.8385","0.8378","100.0","66.3"
"fs1","deepseek-v4-flash","clarus","results/experiment/fs1/deepseek_fs1_clarus.json","2","The Clarus system shall implement quality checking processes as soon as data become available.","","","QChS","The QChS shall execute quality checking processes as soon as data become available.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","18.0","18.0","18.0","9.0","0.6754","0.6896","0.6825","100.0","63.1"
"fs1","deepseek-v4-flash","clarus","results/experiment/fs1/deepseek_fs1_clarus.json","3","The Clarus system shall implement quality checking processes as soon as data become available.","","","SS","The SS shall trigger quality checking processes as soon as data become available.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","0.0","0.0","0.0","0.0","0.6951","0.7136","0.7042","100.0","55.0"
"fs1","deepseek-v4-flash","clarus","results/experiment/fs1/deepseek_fs1_clarus.json","4","The Clarus system shall record the methods applied when deriving quality checking information.","","","CAS","The CAS shall record the methods applied when deriving quality checking information.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","67.0","68.0","53.0","24.0","0.9421","0.9647","0.9532","100.0","85.2"
"fs1","deepseek-v4-flash","clarus","results/experiment/fs1/deepseek_fs1_clarus.json","5","The Clarus system shall record the methods applied when deriving quality checking information.","","","QChS","The QChS shall record the methods applied when deriving quality checking information.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","35.0","35.0","35.0","16.0","0.8414","0.8385","0.84","100.0","70.8"
"fs1","deepseek-v4-flash","clarus","results/experiment/fs1/deepseek_fs1_clarus.json","6","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","CAS","The CAS shall be able to configure quality checking rules for each environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","100.0","100.0","100.0","100.0","0.9948","0.9931","0.9939","100.0","100.0"
"fs1","deepseek-v4-flash","clarus","results/experiment/fs1/deepseek_fs1_clarus.json","7","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","CAUI","The CAUI shall be able to provide a user interface to configure quality checking rules for each environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","61.0","61.0","61.0","26.0","0.9161","0.9386","0.9272","100.0","82.5"
"fs1","deepseek-v4-flash","clarus","results/experiment/fs1/deepseek_fs1_clarus.json","8","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","QChS","The QChS shall be able to implement quality checking rules for each environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","90.0","90.0","90.0","74.0","0.9473","0.9475","0.9474","100.0","95.5"
"fs1","deepseek-v4-flash","clarus","results/experiment/fs1/deepseek_fs1_clarus.json","9","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","","","CAS","The CAS shall be able to configure quality checking rules for specific environmental situations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","100.0","100.0","100.0","100.0","1.0","1.0","1.0","100.0","100.0"
"fs1","deepseek-v4-flash","clarus","results/experiment/fs1/deepseek_fs1_clarus.json","10","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","","","QChS","The QChS shall be able to implement quality checking rules for specific environmental situations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","100.0","100.0","100.0","100.0","0.9922","0.9956","0.9939","100.0","100.0"
