prompt_type,model,dataset,source_file,source_case_index,high_level_requirement,source_target_allocation,source_target_subsystem,generated_allocation,generated_low_level_requirement,metric_names,allocation_correctness,token_f1_similarity,cosine_similarity,rouge_l,bleu,bert_score_precision,bert_score_recall,bert_score_f1,requirement_quality,combined_score
"fs2","gemini-3.5-flash","clarus","results/experiment/fs2/gemini_fs2_clarus.json","1","The Clarus system shall implement quality checking processes as soon as data become available.","CAS","Configuration & Administration Service","CAS","The CAS shall configure quality checking processes to be executed as soon as data become available.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","24.0","24.0","24.0","13.0","0.781","0.8044","0.7925","100.0","65.8"
"fs2","gemini-3.5-flash","clarus","results/experiment/fs2/gemini_fs2_clarus.json","2","The Clarus system shall implement quality checking processes as soon as data become available.","QChS","Quality Checking Services","QChS","The QChS shall implement quality checking processes as soon as data become available.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","18.0","18.0","18.0","9.0","0.6648","0.678","0.6713","100.0","63.1"
"fs2","gemini-3.5-flash","clarus","results/experiment/fs2/gemini_fs2_clarus.json","3","The Clarus system shall implement quality checking processes as soon as data become available.","SS","Schedule Service","SS","The SS shall trigger quality checking processes as soon as data become available.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","0.0","0.0","0.0","0.0","0.6951","0.7136","0.7042","100.0","55.0"
"fs2","gemini-3.5-flash","clarus","results/experiment/fs2/gemini_fs2_clarus.json","4","The Clarus system shall record the methods applied when deriving quality checking information.","CAS","Configuration & Administration Service","CAS","The CAS shall record the methods applied when deriving quality checking information.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","67.0","68.0","53.0","24.0","0.9421","0.9647","0.9532","100.0","85.2"
"fs2","gemini-3.5-flash","clarus","results/experiment/fs2/gemini_fs2_clarus.json","5","The Clarus system shall record the methods applied when deriving quality checking information.","QChS","Quality Checking Services","QChS","The QChS shall record the methods applied when deriving quality checking information.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","35.0","35.0","35.0","16.0","0.8414","0.8385","0.84","100.0","70.8"
"fs2","gemini-3.5-flash","clarus","results/experiment/fs2/gemini_fs2_clarus.json","6","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","CAS","Configuration & Administration Service","CAS","The CAS shall be able to configure quality checking rules for each environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","100.0","100.0","100.0","100.0","0.9948","0.9931","0.9939","100.0","100.0"
"fs2","gemini-3.5-flash","clarus","results/experiment/fs2/gemini_fs2_clarus.json","7","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","CAUI","Configuration & Administration User Interface","CAUI","The CAUI shall be able to configure quality checking rules for each environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","70.0","70.0","70.0","35.0","0.9313","0.9432","0.9372","100.0","86.5"
"fs2","gemini-3.5-flash","clarus","results/experiment/fs2/gemini_fs2_clarus.json","8","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","QChS","Quality Checking Services","QChS","The QChS shall be able to implement quality checking rules for each environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","90.0","90.0","90.0","74.0","0.9473","0.9475","0.9474","100.0","95.5"
"fs2","gemini-3.5-flash","clarus","results/experiment/fs2/gemini_fs2_clarus.json","9","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","CAS","Configuration & Administration Service","CAS","The CAS shall be able to configure quality checking rules for specific environmental situations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","100.0","100.0","100.0","100.0","1.0","1.0","1.0","100.0","100.0"
"fs2","gemini-3.5-flash","clarus","results/experiment/fs2/gemini_fs2_clarus.json","10","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","QChS","Quality Checking Services","QChS","The QChS shall be able to implement quality checking rules for specific environmental situations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","100.0","100.0","100.0","100.0","0.9922","0.9956","0.9939","100.0","100.0"
"fs2","gemini-3.5-flash","clarus","results/experiment/fs2/gemini_fs2_clarus.json","11","The Clarus system shall be able to implement quality checking rules specific to observation locations.","CAS","Configuration & Administration Service","CAS","The CAS shall be able to configure quality checking rules specific to observation locations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","100.0","100.0","100.0","100.0","1.0","1.0","1.0","100.0","100.0"
"fs2","gemini-3.5-flash","clarus","results/experiment/fs2/gemini_fs2_clarus.json","12","The Clarus system shall be able to implement quality checking rules specific to observation locations.","QChS","Quality Checking Services","QChS","The QChS shall be able to implement quality checking rules specific to observation locations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","74.0","74.0","74.0","47.0","0.73","0.7075","0.7186","100.0","88.3"
"fs2","gemini-3.5-flash","clarus","results/experiment/fs2/gemini_fs2_clarus.json","13","The Clarus system shall be able to base its quality checking process on historical environmental data.","CAS","Configuration & Administration Service","CAS","The CAS shall be able to configure the quality checking process to base its execution on historical environmental data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","73.0","73.0","55.0","31.0","0.96","0.9646","0.9623","100.0","87.9"
"fs2","gemini-3.5-flash","clarus","results/experiment/fs2/gemini_fs2_clarus.json","14","The Clarus system shall be able to base its quality checking process on historical environmental data.","QChS","Quality Checking Services","QChS","The QChS shall be able to base its quality checking process on historical environmental data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","70.0","70.0","50.0","31.0","0.9541","0.957","0.9556","100.0","86.5"
"fs2","gemini-3.5-flash","clarus","results/experiment/fs2/gemini_fs2_clarus.json","15","The Clarus system shall be able to use multiple algorithms for its quality checking process.","CAS","Configuration & Administration Service","CAS","The CAS shall be able to configure multiple algorithms for the quality checking process.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","89.0","89.0","89.0","66.0","0.9905","0.9837","0.9871","100.0","95.1"
"fs2","gemini-3.5-flash","clarus","results/experiment/fs2/gemini_fs2_clarus.json","16","The Clarus system shall be able to use multiple algorithms for its quality checking process.","QChS","Quality Checking Services","QChS","The QChS shall be able to use multiple algorithms for its quality checking process.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","42.0","42.0","42.0","18.0","0.7955","0.8068","0.8011","100.0","73.9"
