prompt_type,model,dataset,source_file,source_case_index,high_level_requirement,source_target_allocation,source_target_subsystem,generated_allocation,generated_low_level_requirement,metric_names,allocation_correctness,token_f1_similarity,cosine_similarity,rouge_l,bleu,bert_score_precision,bert_score_recall,bert_score_f1,requirement_quality,combined_score
"panacea_run1","claude-sonnet-5","clarus","results/experiment/panacea_run1/claude_panacea_run1_clarus.json","1","The Clarus system shall implement quality checking processes as soon as data become available.","","","QC","The QC service shall monitor incoming data streams to detect the arrival of new observation data in real time.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","17.0","17.0","8.0","10.0","0.7021","0.7269","0.7143","100.0","27.7"
"panacea_run1","claude-sonnet-5","clarus","results/experiment/panacea_run1/claude_panacea_run1_clarus.json","2","The Clarus system shall implement quality checking processes as soon as data become available.","","","QC","The QC service shall automatically initiate quality checking processing immediately upon detection of newly available data, without manual intervention.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","14.0","14.0","14.0","8.0","0.5694","0.5589","0.5641","100.0","26.3"
"panacea_run1","claude-sonnet-5","clarus","results/experiment/panacea_run1/claude_panacea_run1_clarus.json","3","The Clarus system shall implement quality checking processes as soon as data become available.","","","QC","The QC service shall apply the applicable quality checking algorithms to each newly received data element prior to any further processing or dissemination of that data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","13.0","13.0","7.0","7.0","0.7175","0.7307","0.7241","100.0","25.9"
"panacea_run1","claude-sonnet-5","clarus","results/experiment/panacea_run1/claude_panacea_run1_clarus.json","4","The Clarus system shall implement quality checking processes as soon as data become available.","","","QC","The QC service shall process each incoming data record individually as it arrives, rather than batching data for periodic quality checking.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","21.0","21.0","21.0","9.0","0.5844","0.6459","0.6136","100.0","29.5"
"panacea_run1","claude-sonnet-5","clarus","results/experiment/panacea_run1/claude_panacea_run1_clarus.json","5","The Clarus system shall implement quality checking processes as soon as data become available.","","","QC","The QC service shall record a timestamp indicating when quality checking processing began for each data element, to support verification that checking occurred as soon as data became available.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","18.0","19.0","12.0","7.0","0.6828","0.6999","0.6913","100.0","28.1"
"panacea_run1","claude-sonnet-5","clarus","results/experiment/panacea_run1/claude_panacea_run1_clarus.json","6","The Clarus system shall implement quality checking processes as soon as data become available.","","","QC","The QC service shall complete quality checking of a data element within a bounded processing time after its arrival so that data availability is not delayed beyond an acceptable threshold.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","12.0","12.0","6.0","6.0","0.636","0.6771","0.6559","100.0","25.4"
"panacea_run1","claude-sonnet-5","clarus","results/experiment/panacea_run1/claude_panacea_run1_clarus.json","7","The Clarus system shall implement quality checking processes as soon as data become available.","","","DM","The Data Management service shall notify the QC service immediately when new data is received and made available in the system.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","24.0","24.0","16.0","13.0","0.6612","0.607","0.6329","83.0","27.4"
"panacea_run1","claude-sonnet-5","clarus","results/experiment/panacea_run1/claude_panacea_run1_clarus.json","8","The Clarus system shall implement quality checking processes as soon as data become available.","","","DM","The Data Management service shall withhold newly received data from downstream consumers until the QC service has completed quality checking on that data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","7.0","7.0","7.0","7.0","0.5174","0.531","0.5241","83.0","19.8"
"panacea_run1","claude-sonnet-5","clarus","results/experiment/panacea_run1/claude_panacea_run1_clarus.json","9","The Clarus system shall implement quality checking processes as soon as data become available.","","","QC","The QC service shall generate and store quality checking results and associated quality flags concurrently with the arrival of new data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","15.0","15.0","15.0","11.0","0.6923","0.7059","0.699","100.0","26.8"
"panacea_run1","claude-sonnet-5","clarus","results/experiment/panacea_run1/claude_panacea_run1_clarus.json","10","The Clarus system shall implement quality checking processes as soon as data become available.","","","QC","The QC service shall support continuous, ongoing quality checking operation to accommodate data arriving at any time, including asynchronous or irregular data feeds.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","7.0","7.0","7.0","7.0","0.6339","0.657","0.6452","100.0","23.2"
"panacea_run1","claude-sonnet-5","clarus","results/experiment/panacea_run1/claude_panacea_run1_clarus.json","11","The Clarus system shall record the methods applied when deriving quality checking information.","","","QCHECK","The Clarus system shall record a unique identifier for each quality checking method applied to an observation.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","33.0","35.0","33.0","14.0","0.7863","0.8348","0.8098","83.0","31.5"
"panacea_run1","claude-sonnet-5","clarus","results/experiment/panacea_run1/claude_panacea_run1_clarus.json","12","The Clarus system shall record the methods applied when deriving quality checking information.","","","QCHECK","The Clarus system shall associate each recorded quality checking method identifier with the specific observation or data element to which it was applied.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","17.0","20.0","17.0","9.0","0.7876","0.8285","0.8075","83.0","24.3"
"panacea_run1","claude-sonnet-5","clarus","results/experiment/panacea_run1/claude_panacea_run1_clarus.json","13","The Clarus system shall record the methods applied when deriving quality checking information.","","","QCHECK","The Clarus system shall record the quality checking method applied for each individual quality check performed, when multiple quality checks are applied to a single observation.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","31.0","33.0","23.0","8.0","0.8009","0.8749","0.8363","83.0","30.6"
