prompt_type,model,dataset,source_file,source_case_index,high_level_requirement,source_target_allocation,source_target_subsystem,generated_allocation,generated_low_level_requirement,metric_names,allocation_correctness,token_f1_similarity,cosine_similarity,rouge_l,bleu,bert_score_precision,bert_score_recall,bert_score_f1,requirement_quality,combined_score
"react1","gemini-3.5-flash","clarus","results/experiment/react1/gemini_react1_clarus.json","1","The Clarus system shall implement quality checking processes as soon as data become available.","","","QChS","The QChS shall execute quality checking processes on environmental data immediately upon its availability.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","17.0","17.0","17.0","10.0","0.4894","0.5258","0.507","100.0","62.7"
"react1","gemini-3.5-flash","clarus","results/experiment/react1/gemini_react1_clarus.json","2","The Clarus system shall record the methods applied when deriving quality checking information.","","","QChS","The Quality Checking Services shall output the specific quality checking methods applied when deriving quality checking information.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","22.0","22.0","11.0","13.0","0.8261","0.8119","0.819","83.0","61.5"
"react1","gemini-3.5-flash","clarus","results/experiment/react1/gemini_react1_clarus.json","3","The Clarus system shall record the methods applied when deriving quality checking information.","","","QEDS","The Qualified Environmental Data Services shall persist the record of the quality checking methods applied alongside the quality checking information.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","44.0","47.0","44.0","28.0","0.6442","0.6663","0.655","83.0","36.4"
"react1","gemini-3.5-flash","clarus","results/experiment/react1/gemini_react1_clarus.json","4","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","QChS","The QChS shall execute the configured quality checking rules for each environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","70.0","70.0","70.0","41.0","0.91","0.9066","0.9083","100.0","86.5"
"react1","gemini-3.5-flash","clarus","results/experiment/react1/gemini_react1_clarus.json","5","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","CAS","The CAS shall manage the configuration of quality checking rules associated with each environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","67.0","67.0","67.0","31.0","0.9398","0.907","0.9231","100.0","85.2"
"react1","gemini-3.5-flash","clarus","results/experiment/react1/gemini_react1_clarus.json","6","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","","","QChS","The QChS shall execute quality checking rules defined for specific environmental situations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","80.0","80.0","80.0","48.0","0.9633","0.9559","0.9596","100.0","91.0"
"react1","gemini-3.5-flash","clarus","results/experiment/react1/gemini_react1_clarus.json","7","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","","","CAS","The CAS shall manage the configuration of quality checking rules for specific environmental situations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","80.0","80.0","80.0","70.0","0.9474","0.9232","0.9351","100.0","91.0"
"react1","gemini-3.5-flash","clarus","results/experiment/react1/gemini_react1_clarus.json","8","The Clarus system shall be able to implement quality checking rules specific to observation locations.","","","QChS","The QChS shall apply quality checking rules to environmental data based on the specific observation location of the data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","48.0","48.0","48.0","23.0","0.6905","0.6921","0.6913","100.0","76.6"
"react1","gemini-3.5-flash","clarus","results/experiment/react1/gemini_react1_clarus.json","9","The Clarus system shall be able to implement quality checking rules specific to observation locations.","","","CAS","The CAS shall manage the configuration of quality checking rules associated with specific observation locations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","70.0","70.0","70.0","31.0","0.9131","0.8845","0.8986","100.0","86.5"
"react1","gemini-3.5-flash","clarus","results/experiment/react1/gemini_react1_clarus.json","10","The Clarus system shall be able to base its quality checking process on historical environmental data.","","","QChS","The QChS shall query the QEDS to retrieve historical environmental data for quality checking.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","60.0","60.0","60.0","29.0","0.8917","0.8872","0.8894","100.0","82.0"
