prompt_type,model,dataset,source_file,source_case_index,high_level_requirement,source_target_allocation,source_target_subsystem,generated_allocation,generated_low_level_requirement,metric_names,allocation_correctness,token_f1_similarity,cosine_similarity,rouge_l,bleu,bert_score_precision,bert_score_recall,bert_score_f1,requirement_quality,combined_score
"panacea_run1","deepseek-v4-flash","clarus","results/experiment/panacea_run1/deepseek_panacea_run1_clarus.json","1","The Clarus system shall implement quality checking processes as soon as data become available.","","","Clarus","The Clarus system shall detect when data becomes available from any data source.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","17.0","18.0","17.0","10.0","0.6878","0.7257","0.7062","100.0","27.7"
"panacea_run1","deepseek-v4-flash","clarus","results/experiment/panacea_run1/deepseek_panacea_run1_clarus.json","2","The Clarus system shall implement quality checking processes as soon as data become available.","","","Clarus","Upon detection of newly available data, the Clarus system shall immediately initiate and execute quality checking processes on that data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","11.0","15.0","11.0","7.0","0.7073","0.7064","0.7068","83.0","21.6"
"panacea_run1","deepseek-v4-flash","clarus","results/experiment/panacea_run1/deepseek_panacea_run1_clarus.json","3","The Clarus system shall record the methods applied when deriving quality checking information.","","","CLARUS","The Clarus system shall record the identity of each method applied during the derivation of quality checking information.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","33.0","35.0","33.0","14.0","0.8098","0.8507","0.8297","83.0","31.5"
"panacea_run1","deepseek-v4-flash","clarus","results/experiment/panacea_run1/deepseek_panacea_run1_clarus.json","4","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","CLARUS","The Clarus system shall provide a mechanism to create quality checking rules for environmental parameters.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","48.0","48.0","48.0","32.0","0.9294","0.9296","0.9295","83.0","38.2"
"panacea_run1","deepseek-v4-flash","clarus","results/experiment/panacea_run1/deepseek_panacea_run1_clarus.json","5","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","CLARUS","The Clarus system shall allow associating zero or more quality checking rules with each distinct environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","50.0","51.0","50.0","20.0","0.6926","0.6905","0.6915","83.0","39.1"
"panacea_run1","deepseek-v4-flash","clarus","results/experiment/panacea_run1/deepseek_panacea_run1_clarus.json","6","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","CLARUS","The Clarus system shall store all defined quality checking rules in persistent storage.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","35.0","36.0","35.0","22.0","0.6952","0.7237","0.7091","83.0","32.4"
"panacea_run1","deepseek-v4-flash","clarus","results/experiment/panacea_run1/deepseek_panacea_run1_clarus.json","7","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","CLARUS","The Clarus system shall support the modification of existing quality checking rules for any environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","55.0","55.0","55.0","33.0","0.8407","0.8471","0.8439","83.0","41.4"
"panacea_run1","deepseek-v4-flash","clarus","results/experiment/panacea_run1/deepseek_panacea_run1_clarus.json","8","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","CLARUS","The Clarus system shall support the deletion of quality checking rules associated with an environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","48.0","48.0","48.0","25.0","0.7926","0.8208","0.8064","83.0","38.2"
"panacea_run1","deepseek-v4-flash","clarus","results/experiment/panacea_run1/deepseek_panacea_run1_clarus.json","9","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","CLARUS","The Clarus system shall evaluate all quality checking rules applicable to an environmental parameter when processing data for that parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","48.0","49.0","40.0","19.0","0.9023","0.8863","0.8942","83.0","38.2"
"panacea_run1","deepseek-v4-flash","clarus","results/experiment/panacea_run1/deepseek_panacea_run1_clarus.json","10","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","CLARUS","The Clarus system shall reject the definition of a quality checking rule that is syntactically invalid or references unsupported operations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","20.0","21.0","20.0","12.0","0.4444","0.495","0.4684","83.0","25.6"
