prompt_type,model,dataset,source_file,source_case_index,high_level_requirement,source_target_allocation,source_target_subsystem,generated_allocation,generated_low_level_requirement,metric_names,allocation_correctness,token_f1_similarity,cosine_similarity,rouge_l,bleu,bert_score_precision,bert_score_recall,bert_score_f1,requirement_quality,combined_score
"rag2","gemini-3.5-flash","clarus","results/experiment/rag2/gemini_rag2_clarus.json","1","The Clarus system shall implement quality checking processes as soon as data become available.","CAS","Configuration & Administration Service","CAS","The CAS shall configure the system to execute quality checking processes automatically as soon as environmental data become available.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","20.0","21.0","20.0","10.0","0.6199","0.6589","0.6388","100.0","64.0"
"rag2","gemini-3.5-flash","clarus","results/experiment/rag2/gemini_rag2_clarus.json","2","The Clarus system shall implement quality checking processes as soon as data become available.","QChS","Quality Checking Services","QChS","QChS shall implement quality checking processes as soon as data become available.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","18.0","18.0","18.0","9.0","0.6851","0.6972","0.6911","100.0","63.1"
"rag2","gemini-3.5-flash","clarus","results/experiment/rag2/gemini_rag2_clarus.json","3","The Clarus system shall implement quality checking processes as soon as data become available.","SS","Schedule Service","SS","The Schedule Service shall trigger the execution of quality checking processes as soon as environmental data becomes available.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","0.0","0.0","0.0","0.0","0.5368","0.5642","0.5501","83.0","51.6"
"rag2","gemini-3.5-flash","clarus","results/experiment/rag2/gemini_rag2_clarus.json","4","The Clarus system shall record the methods applied when deriving quality checking information.","CAS","Configuration & Administration Service","CAS","The CAS shall record the methods applied when deriving quality checking information.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","67.0","68.0","53.0","24.0","0.9421","0.9647","0.9532","100.0","85.2"
"rag2","gemini-3.5-flash","clarus","results/experiment/rag2/gemini_rag2_clarus.json","5","The Clarus system shall record the methods applied when deriving quality checking information.","QChS","Quality Checking Services","QChS","The QChS shall record the methods applied when deriving quality checking information.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","35.0","35.0","35.0","16.0","0.8414","0.8385","0.84","100.0","70.8"
"rag2","gemini-3.5-flash","clarus","results/experiment/rag2/gemini_rag2_clarus.json","6","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","CAS","Configuration & Administration Service","CAS","The CAS shall enable the configuration of quality checking rules for each environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","80.0","80.0","80.0","70.0","0.9615","0.9389","0.9501","100.0","91.0"
"rag2","gemini-3.5-flash","clarus","results/experiment/rag2/gemini_rag2_clarus.json","7","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","CAUI","Configuration & Administration User Interface","CAUI","The CAUI shall allow users to configure quality checking rules for each environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","67.0","67.0","67.0","31.0","0.9301","0.9423","0.9361","100.0","85.2"
"rag2","gemini-3.5-flash","clarus","results/experiment/rag2/gemini_rag2_clarus.json","8","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","QChS","Quality Checking Services","QChS","The QChS shall be able to implement quality checking rules for each environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","90.0","90.0","90.0","74.0","0.9473","0.9475","0.9474","100.0","95.5"
"rag2","gemini-3.5-flash","clarus","results/experiment/rag2/gemini_rag2_clarus.json","9","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","CAS","Configuration & Administration Service","CAS","The CAS shall enable the configuration of quality checking rules for specific environmental situations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","80.0","80.0","80.0","70.0","0.9642","0.9457","0.9549","100.0","91.0"
"rag2","gemini-3.5-flash","clarus","results/experiment/rag2/gemini_rag2_clarus.json","10","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","QChS","Quality Checking Services","QChS","The QChS shall be able to implement quality checking rules for specific environmental situations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","100.0","100.0","100.0","100.0","0.9922","0.9956","0.9939","100.0","100.0"
"rag2","gemini-3.5-flash","clarus","results/experiment/rag2/gemini_rag2_clarus.json","11","The Clarus system shall be able to implement quality checking rules specific to observation locations.","CAS","Configuration & Administration Service","CAS","The CAS shall support the configuration of quality checking rules specific to observation locations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","78.0","78.0","78.0","66.0","0.9382","0.9137","0.9258","100.0","90.1"
"rag2","gemini-3.5-flash","clarus","results/experiment/rag2/gemini_rag2_clarus.json","12","The Clarus system shall be able to implement quality checking rules specific to observation locations.","QChS","Quality Checking Services","QChS","The QChS shall be able to implement quality checking rules specific to observation locations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","74.0","74.0","74.0","47.0","0.73","0.7075","0.7186","100.0","88.3"
"rag2","gemini-3.5-flash","clarus","results/experiment/rag2/gemini_rag2_clarus.json","13","The Clarus system shall be able to base its quality checking process on historical environmental data.","CAS","Configuration & Administration Service","CAS","The CAS shall provide the capability to configure the historical environmental data parameters used in the quality checking process.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","73.0","73.0","73.0","39.0","0.9585","0.9611","0.9598","100.0","87.9"
"rag2","gemini-3.5-flash","clarus","results/experiment/rag2/gemini_rag2_clarus.json","14","The Clarus system shall be able to base its quality checking process on historical environmental data.","QChS","Quality Checking Services","QChS","The QChS shall be able to base its quality checking process on historical environmental data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","70.0","70.0","50.0","31.0","0.9541","0.957","0.9556","100.0","86.5"
"rag2","gemini-3.5-flash","clarus","results/experiment/rag2/gemini_rag2_clarus.json","15","The Clarus system shall be able to use multiple algorithms for its quality checking process.","CAS","Configuration & Administration Service","CAS","The CAS shall be able to configure multiple algorithms for the quality checking process.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","89.0","89.0","89.0","66.0","0.9905","0.9837","0.9871","100.0","95.1"
"rag2","gemini-3.5-flash","clarus","results/experiment/rag2/gemini_rag2_clarus.json","16","The Clarus system shall be able to use multiple algorithms for its quality checking process.","QChS","Quality Checking Services","QChS","The QChS shall be able to use multiple algorithms for its quality checking process.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","42.0","42.0","42.0","18.0","0.7955","0.8068","0.8011","100.0","73.9"
"rag2","gemini-3.5-flash","clarus","results/experiment/rag2/gemini_rag2_clarus.json","17","The Clarus system shall allow access to new surface transportation-related environmental data.","CAS","Configuration & Administration Service","CAS","The CAS shall configure the access settings to allow access to new surface transportation-related environmental data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","29.0","29.0","29.0","15.0","0.7445","0.7918","0.7674","100.0","68.1"
"rag2","gemini-3.5-flash","clarus","results/experiment/rag2/gemini_rag2_clarus.json","18","The Clarus system shall allow access to new surface transportation-related environmental data.","CS","Collector Services","CS","Collector Services shall allow access to new surface transportation-related environmental data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","11.0","11.0","11.0","11.0","0.7054","0.758","0.7307","83.0","56.6"
"rag2","gemini-3.5-flash","clarus","results/experiment/rag2/gemini_rag2_clarus.json","19","The Clarus system shall allow access to new surface transportation-related environmental data.","DOG","Watchdog","DOG","The Watchdog shall allow access to new surface transportation-related environmental data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","32.0","32.0","32.0","17.0","0.8157","0.8116","0.8137","83.0","66.0"
"rag2","gemini-3.5-flash","clarus","results/experiment/rag2/gemini_rag2_clarus.json","20","The Clarus system shall allow access to new surface transportation-related environmental data.","EMC","Environmental Metadata Cache","EMC","The EMC shall allow access to new surface transportation-related environmental data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","32.0","32.0","32.0","14.0","0.7193","0.7478","0.7333","100.0","69.4"
