prompt_type,model,dataset,source_file,source_case_index,high_level_requirement,source_target_allocation,source_target_subsystem,generated_allocation,generated_low_level_requirement,metric_names,allocation_correctness,token_f1_similarity,cosine_similarity,rouge_l,bleu,bert_score_precision,bert_score_recall,bert_score_f1,requirement_quality,combined_score
"rag1","mistral-medium-3.5","clarus","results/experiment/rag1/mistral_rag1_clarus.json","1","The Clarus system shall implement quality checking processes as soon as data become available.","","","QChS","The Clarus system shall initiate quality checking processes immediately upon receipt of new data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","17.0","17.0","17.0","12.0","0.6507","0.5764","0.6113","83.0","59.3"
"rag1","mistral-medium-3.5","clarus","results/experiment/rag1/mistral_rag1_clarus.json","2","The Clarus system shall implement quality checking processes as soon as data become available.","","","QChS","The Clarus system shall apply quality checking processes to data as soon as the data are available for processing.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","16.0","16.0","8.0","10.0","0.6429","0.6585","0.6506","83.0","58.8"
"rag1","mistral-medium-3.5","clarus","results/experiment/rag1/mistral_rag1_clarus.json","3","The Clarus system shall record the methods applied when deriving quality checking information.","","","QChS","The Quality Checking Services shall record the algorithm or method used for each quality check applied to environmental data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","19.0","20.0","19.0","10.0","0.5918","0.6059","0.5987","83.0","60.2"
"rag1","mistral-medium-3.5","clarus","results/experiment/rag1/mistral_rag1_clarus.json","4","The Clarus system shall record the methods applied when deriving quality checking information.","","","QChS","The Quality Checking Services shall record the parameters or thresholds used in each quality check method.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","22.0","22.0","22.0","13.0","0.8077","0.8042","0.8059","83.0","61.5"
"rag1","mistral-medium-3.5","clarus","results/experiment/rag1/mistral_rag1_clarus.json","5","The Clarus system shall record the methods applied when deriving quality checking information.","","","QChS","The Quality Checking Services shall associate the recorded quality check method with the corresponding environmental data element.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","20.0","20.0","20.0","11.0","0.6001","0.6272","0.6133","83.0","60.6"
"rag1","mistral-medium-3.5","clarus","results/experiment/rag1/mistral_rag1_clarus.json","6","The Clarus system shall record the methods applied when deriving quality checking information.","","","QChS","The Quality Checking Services shall store the recorded quality check method information in a retrievable format.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","22.0","22.0","22.0","13.0","0.7127","0.7393","0.7258","83.0","61.5"
"rag1","mistral-medium-3.5","clarus","results/experiment/rag1/mistral_rag1_clarus.json","7","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","QChS","The Clarus system shall support the definition of quality checking rules for each environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","57.0","57.0","57.0","36.0","0.9037","0.9049","0.9043","83.0","77.3"
"rag1","mistral-medium-3.5","clarus","results/experiment/rag1/mistral_rag1_clarus.json","8","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","QChS","The Clarus system shall apply quality checking rules to each environmental parameter for which a rule is defined.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","52.0","53.0","43.0","22.0","0.8865","0.8903","0.8884","83.0","75.0"
"rag1","mistral-medium-3.5","clarus","results/experiment/rag1/mistral_rag1_clarus.json","9","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","","","QChS","The Clarus system shall allow the definition of quality checking rules that depend on environmental conditions.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","38.0","38.0","38.0","22.0","0.899","0.9047","0.9018","83.0","68.7"
"rag1","mistral-medium-3.5","clarus","results/experiment/rag1/mistral_rag1_clarus.json","10","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","","","QChS","The Clarus system shall apply quality checking rules that vary based on the current environmental situation.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","36.0","37.0","36.0","20.0","0.8602","0.8664","0.8633","83.0","67.8"
