prompt_type,model,dataset,source_file,source_case_index,high_level_requirement,source_target_allocation,source_target_subsystem,generated_allocation,generated_low_level_requirement,metric_names,allocation_correctness,token_f1_similarity,cosine_similarity,rouge_l,bleu,bert_score_precision,bert_score_recall,bert_score_f1,requirement_quality,combined_score
"react2","command-a-plus-05-2026","clarus","results/experiment/react2/cohere_react2_clarus.json","1","The Clarus system shall implement quality checking processes as soon as data become available.","CAS","Configuration & Administration Service","CAS","The CAS shall listen to the data ingestion event bus and, upon detection of new data, immediately enqueue a quality checking task.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","9.0","10.0","9.0","7.0","0.6935","0.7058","0.6996","100.0","59.1"
"react2","command-a-plus-05-2026","clarus","results/experiment/react2/cohere_react2_clarus.json","2","The Clarus system shall implement quality checking processes as soon as data become available.","CAS","Configuration & Administration Service","CAS","The CAS shall store quality checking rules, including criteria and thresholds, for each data source.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","20.0","21.0","20.0","10.0","0.7221","0.7242","0.7232","100.0","64.0"
"react2","command-a-plus-05-2026","clarus","results/experiment/react2/cohere_react2_clarus.json","3","The Clarus system shall implement quality checking processes as soon as data become available.","QChS","Quality Checking Services","QChS","The Quality Checking Services shall receive incoming environmental data upon notification of data availability.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","9.0","9.0","9.0","8.0","0.5686","0.6257","0.5958","83.0","55.7"
"react2","command-a-plus-05-2026","clarus","results/experiment/react2/cohere_react2_clarus.json","4","The Clarus system shall implement quality checking processes as soon as data become available.","QChS","Quality Checking Services","QChS","The Quality Checking Services shall validate data completeness by verifying that all required fields are present before performing quality checks.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","7.0","7.0","7.0","7.0","0.6365","0.6628","0.6494","83.0","54.8"
"react2","command-a-plus-05-2026","clarus","results/experiment/react2/cohere_react2_clarus.json","5","The Clarus system shall implement quality checking processes as soon as data become available.","QChS","Quality Checking Services","QChS","The Quality Checking Services shall apply range validation checks to ensure measured values fall within defined physical limits.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","0.0","0.0","0.0","0.0","0.5618","0.6018","0.5811","83.0","51.6"
"react2","command-a-plus-05-2026","clarus","results/experiment/react2/cohere_react2_clarus.json","6","The Clarus system shall implement quality checking processes as soon as data become available.","QChS","Quality Checking Services","QChS","The Quality Checking Services shall flag and log any data anomalies for review by the Environmental Metadata Services.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","8.0","8.0","8.0","8.0","0.4614","0.5167","0.4875","83.0","55.2"
"react2","command-a-plus-05-2026","clarus","results/experiment/react2/cohere_react2_clarus.json","7","The Clarus system shall implement quality checking processes as soon as data become available.","QChS","Quality Checking Services","QChS","The Quality Checking Services shall generate a quality status report and make it available to the Qualified Environmental Data Services.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","8.0","8.0","8.0","8.0","0.5281","0.5756","0.5508","83.0","55.2"
"react2","command-a-plus-05-2026","clarus","results/experiment/react2/cohere_react2_clarus.json","8","The Clarus system shall implement quality checking processes as soon as data become available.","SS","Schedule Service","SS","The Schedule Service shall receive an event notification whenever new environmental data becomes available.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","0.0","0.0","0.0","0.0","0.5721","0.5968","0.5842","83.0","51.6"
"react2","command-a-plus-05-2026","clarus","results/experiment/react2/cohere_react2_clarus.json","9","The Clarus system shall implement quality checking processes as soon as data become available.","SS","Schedule Service","SS","Upon receipt of a data availability event, the Schedule Service shall immediately enqueue a quality checking job for the new data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","0.0","0.0","0.0","0.0","0.6202","0.6368","0.6284","83.0","51.6"
"react2","command-a-plus-05-2026","clarus","results/experiment/react2/cohere_react2_clarus.json","10","The Clarus system shall record the methods applied when deriving quality checking information.","CAS","Configuration & Administration Service","CAS","The CAS shall persistently store the identifier and description of the method used for each quality checking derivation event.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","40.0","44.0","30.0","13.0","0.7671","0.8109","0.7884","100.0","73.0"
"react2","command-a-plus-05-2026","clarus","results/experiment/react2/cohere_react2_clarus.json","11","The Clarus system shall record the methods applied when deriving quality checking information.","CAS","Configuration & Administration Service","CAS","The CAS shall record the timestamp at which each quality checking derivation method was applied.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","47.0","49.0","47.0","18.0","0.7377","0.8183","0.7759","100.0","76.2"
