prompt_type,model,dataset,source_file,source_case_index,high_level_requirement,source_target_allocation,source_target_subsystem,generated_allocation,generated_low_level_requirement,metric_names,allocation_correctness,token_f1_similarity,cosine_similarity,rouge_l,bleu,bert_score_precision,bert_score_recall,bert_score_f1,requirement_quality,combined_score
"rag1","deepseek-v4-flash","clarus","results/experiment/rag1/deepseek_rag1_clarus.json","1","The Clarus system shall implement quality checking processes as soon as data become available.","","","QChS","The Quality Checking Services shall initiate quality checking processes for each data item immediately upon the data item becoming available.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","8.0","8.0","8.0","8.0","0.599","0.6123","0.6056","83.0","55.2"
"rag1","deepseek-v4-flash","clarus","results/experiment/rag1/deepseek_rag1_clarus.json","2","The Clarus system shall record the methods applied when deriving quality checking information.","","","QChS","The Clarus system shall record the identifier of each quality checking method applied during the quality checking process.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","11.0","11.0","11.0","10.0","0.7918","0.7992","0.7955","83.0","56.6"
"rag1","deepseek-v4-flash","clarus","results/experiment/rag1/deepseek_rag1_clarus.json","3","The Clarus system shall record the methods applied when deriving quality checking information.","","","QChS","The Clarus system shall record the timestamp when each quality checking method was applied.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","21.0","21.0","21.0","12.0","0.7297","0.7641","0.7465","83.0","61.1"
"rag1","deepseek-v4-flash","clarus","results/experiment/rag1/deepseek_rag1_clarus.json","4","The Clarus system shall record the methods applied when deriving quality checking information.","","","QChS","The Clarus system shall record the identifier of the observation or data element for which each quality checking method was applied.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","9.0","9.0","9.0","7.0","0.7728","0.7947","0.7836","83.0","55.7"
"rag1","deepseek-v4-flash","clarus","results/experiment/rag1/deepseek_rag1_clarus.json","5","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","QChS","The quality checking service shall allow a user to define a quality checking rule for a specific environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","57.0","57.0","57.0","36.0","0.937","0.9373","0.9371","83.0","77.3"
"rag1","deepseek-v4-flash","clarus","results/experiment/rag1/deepseek_rag1_clarus.json","6","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","QChS","The quality checking service shall store defined quality checking rules per environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","53.0","53.0","53.0","21.0","0.9263","0.9077","0.9169","83.0","75.5"
"rag1","deepseek-v4-flash","clarus","results/experiment/rag1/deepseek_rag1_clarus.json","7","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","QChS","The quality checking service shall apply stored quality checking rules to observations of the corresponding environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","50.0","50.0","50.0","21.0","0.8965","0.8884","0.8925","83.0","74.1"
"rag1","deepseek-v4-flash","clarus","results/experiment/rag1/deepseek_rag1_clarus.json","8","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","","","QChS","The Clarus system shall be able to define quality checking rules whose activation depends on specific environmental situations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","61.0","61.0","61.0","26.0","0.9349","0.9518","0.9433","83.0","79.1"
"rag1","deepseek-v4-flash","clarus","results/experiment/rag1/deepseek_rag1_clarus.json","9","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","","","QChS","The Clarus system shall be able to evaluate a set of defined environmental situations against current observation context to determine applicable quality checking rules.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","44.0","46.0","30.0","16.0","0.8967","0.9181","0.9073","83.0","71.4"
"rag1","deepseek-v4-flash","clarus","results/experiment/rag1/deepseek_rag1_clarus.json","10","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","","","QChS","The Clarus system shall be able to apply quality checking rules only when the corresponding environmental situation is detected.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","43.0","44.0","43.0","19.0","0.7287","0.7521","0.7402","83.0","71.0"
