prompt_type,model,dataset,source_file,source_case_index,high_level_requirement,source_target_allocation,source_target_subsystem,generated_allocation,generated_low_level_requirement,metric_names,allocation_correctness,token_f1_similarity,cosine_similarity,rouge_l,bleu,bert_score_precision,bert_score_recall,bert_score_f1,requirement_quality,combined_score
"cot1","mistral-medium-3.5","clarus","results/experiment/cot1/mistral_cot1_clarus.json","1","The Clarus system shall implement quality checking processes as soon as data become available.","","","CS","The Collector Services shall notify the Quality Checking Services when new environmental data become available.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","25.0","25.0","25.0","13.0","0.445","0.4409","0.4429","83.0","27.9"
"cot1","mistral-medium-3.5","clarus","results/experiment/cot1/mistral_cot1_clarus.json","2","The Clarus system shall implement quality checking processes as soon as data become available.","","","QChS","The Quality Checking Services shall initiate quality checking processes upon receiving notification of new environmental data availability.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","16.0","16.0","16.0","10.0","0.5084","0.5628","0.5342","83.0","58.8"
"cot1","mistral-medium-3.5","clarus","results/experiment/cot1/mistral_cot1_clarus.json","3","The Clarus system shall implement quality checking processes as soon as data become available.","","","QChS","The Quality Checking Services shall process the quality checking as soon as the data are received.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","10.0","10.0","10.0","7.0","0.6346","0.6476","0.641","83.0","56.1"
"cot1","mistral-medium-3.5","clarus","results/experiment/cot1/mistral_cot1_clarus.json","4","The Clarus system shall record the methods applied when deriving quality checking information.","","","QChS","The Quality Checking Services shall record the method identifier for each quality check performed.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","33.0","34.0","33.0","14.0","0.8128","0.8075","0.8102","83.0","66.5"
"cot1","mistral-medium-3.5","clarus","results/experiment/cot1/mistral_cot1_clarus.json","5","The Clarus system shall record the methods applied when deriving quality checking information.","","","QChS","The Quality Checking Services shall record the timestamp when each quality check method was applied.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","32.0","32.0","21.0","13.0","0.7465","0.7726","0.7593","83.0","66.0"
"cot1","mistral-medium-3.5","clarus","results/experiment/cot1/mistral_cot1_clarus.json","6","The Clarus system shall record the methods applied when deriving quality checking information.","","","QEDS","The Qualified Environmental Data Services shall store the recorded quality check method information associated with the derived qualified environmental data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","19.0","20.0","19.0","12.0","0.6845","0.731","0.707","83.0","25.2"
"cot1","mistral-medium-3.5","clarus","results/experiment/cot1/mistral_cot1_clarus.json","7","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","QChS","The Quality Checking Services shall provide a mechanism to define quality checking rules for each environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","57.0","57.0","57.0","22.0","0.9389","0.9327","0.9358","83.0","77.3"
"cot1","mistral-medium-3.5","clarus","results/experiment/cot1/mistral_cot1_clarus.json","8","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","QChS","The Quality Checking Services shall apply the defined quality checking rules to each environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","53.0","53.0","53.0","21.0","0.9008","0.8885","0.8946","83.0","75.5"
"cot1","mistral-medium-3.5","clarus","results/experiment/cot1/mistral_cot1_clarus.json","9","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","QEDS","The Qualified Environmental Data Services shall store the results of quality checking for each environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","57.0","57.0","48.0","20.0","0.9144","0.8885","0.9013","83.0","42.3"
"cot1","mistral-medium-3.5","clarus","results/experiment/cot1/mistral_cot1_clarus.json","10","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","","","QChS","The Quality Checking Services shall provide an interface to define quality checking rules for environmental data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","50.0","50.0","50.0","21.0","0.9208","0.9115","0.9161","83.0","74.1"
"cot1","mistral-medium-3.5","clarus","results/experiment/cot1/mistral_cot1_clarus.json","11","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","","","QChS","The Quality Checking Services shall apply the defined quality checking rules to incoming environmental data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","42.0","42.0","42.0","18.0","0.882","0.8716","0.8768","83.0","70.5"
"cot1","mistral-medium-3.5","clarus","results/experiment/cot1/mistral_cot1_clarus.json","12","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","","","QChS","The Quality Checking Services shall return the results of quality checking for each applied rule.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","32.0","32.0","32.0","17.0","0.6108","0.5935","0.6021","83.0","66.0"
"cot1","mistral-medium-3.5","clarus","results/experiment/cot1/mistral_cot1_clarus.json","13","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","","","CAS","The Configuration & Administration Service shall store and manage the configuration of quality checking rules.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","32.0","32.0","32.0","22.0","0.7415","0.7181","0.7296","83.0","66.0"
"cot1","mistral-medium-3.5","clarus","results/experiment/cot1/mistral_cot1_clarus.json","14","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","","","CAUI","The Configuration & Administration User Interface shall allow an authorized user to define, modify, and delete quality checking rules.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","26.0","26.0","26.0","17.0","0.6648","0.6671","0.6659","83.0","28.3"
"cot1","mistral-medium-3.5","clarus","results/experiment/cot1/mistral_cot1_clarus.json","15","The Clarus system shall be able to implement quality checking rules specific to observation locations.","","","QChS","The Quality Checking Services shall allow the definition of quality checking rules.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","37.0","39.0","37.0","16.0","0.6347","0.5897","0.6114","83.0","68.3"
"cot1","mistral-medium-3.5","clarus","results/experiment/cot1/mistral_cot1_clarus.json","16","The Clarus system shall be able to implement quality checking rules specific to observation locations.","","","QChS","The Quality Checking Services shall associate quality checking rules with specific observation locations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","42.0","42.0","42.0","18.0","0.7073","0.6803","0.6935","83.0","70.5"
"cot1","mistral-medium-3.5","clarus","results/experiment/cot1/mistral_cot1_clarus.json","17","The Clarus system shall be able to implement quality checking rules specific to observation locations.","","","QChS","The Quality Checking Services shall apply the associated quality checking rules to data from the specified observation locations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","29.0","29.0","29.0","15.0","0.6728","0.6419","0.657","83.0","64.7"
"cot1","mistral-medium-3.5","clarus","results/experiment/cot1/mistral_cot1_clarus.json","18","The Clarus system shall be able to base its quality checking process on historical environmental data.","","","QEDS","QEDS shall provide historical environmental data to QChS upon request.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","44.0","45.0","33.0","24.0","0.8817","0.8823","0.882","100.0","39.8"
"cot1","mistral-medium-3.5","clarus","results/experiment/cot1/mistral_cot1_clarus.json","19","The Clarus system shall be able to base its quality checking process on historical environmental data.","","","QChS","QChS shall accept historical environmental data from QEDS for use in quality checking.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","67.0","67.0","57.0","27.0","0.9262","0.9259","0.9261","100.0","85.2"
